MAG	Depth	Cluster ID	Representative sequence
M_surface_6_m2_009	6	499_1	No
M_surface_9_m1_009	9	497_1	Representative sequence
M_surface_7_m2_009	7	208_1	No
M_surface_9_mx_009	9	168_1	No
M_DeepCast_10m_mx_023	10	597_1	No
M_DeepCast_10m_mx_208	10	594_1	No
M_DeepCast_10m_m1_138	10	592_1	No
M_DeepCast_10m_m1_191	10	590_1	No
M_DeepCast_10m_m1_232	10	587_3	No
M_DeepCast_10m_mx_049	10	589_0	No
M_DeepCast_10m_m2_106	10	585_1	No
M_DeepCast_10m_m1_211	10	579_1	No
M_DeepCast_10m_m2_057	10	578_1	No
M_DeepCast_10m_m1_178	10	577_2	No
M_DeepCast_10m_mx_030	10	572_1	No
M_DeepCast_10m_m1_214	10	571_1	No
M_DeepCast_10m_m2_137	10	569_1	No
M_DeepCast_10m_m2_089	10	566_1	No
M_DeepCast_10m_m2_189	10	559_1	No
M_DeepCast_10m_m2_075	10	557_2	No
M_DeepCast_10m_mx_163	10	556_7	No
M_DeepCast_10m_m2_209	10	551_1	No
M_DeepCast_10m_mx_084	10	550_2	No
M_DeepCast_10m_mx_094	10	548_1	No
M_DeepCast_10m_m1_112	10	542_1	No
M_DeepCast_10m_m1_219	10	541_12	No
M_DeepCast_10m_m2_198	10	540_1	No
M_DeepCast_10m_m2_062	10	535_4	No
M_DeepCast_10m_m1_171	10	528_2	No
M_DeepCast_10m_m2_204	10	518_1	No
M_DeepCast_10m_m1_004	10	513_1	No
M_DeepCast_10m_m1_018	10	512_1	No
M_DeepCast_10m_mx_089	10	502_1	No
M_DeepCast_10m_m2_141	10	501_2	No
M_DeepCast_10m_m2_045	10	500_1	No
M_DeepCast_10m_m2_145	10	499_1	No
M_DeepCast_10m_m2_092	10	497_1	No
M_DeepCast_10m_m2_132	10	496_1	No
M_DeepCast_10m_mx_152	10	495_1	No
M_DeepCast_10m_m1_005	10	494_1	No
M_DeepCast_10m_m1_225	10	493_1	No
M_DeepCast_10m_m1_009	10	492_1	No
M_DeepCast_10m_m2_201	10	485_1	No
M_DeepCast_10m_m2_202	10	478_1	No
M_DeepCast_10m_m2_014	10	477_1	No
M_DeepCast_10m_m2_175	10	476_1	No
M_DeepCast_10m_m2_174	10	475_2	No
M_DeepCast_10m_m2_107	10	473_1	No
M_DeepCast_10m_mx_141	10	472_1	No
M_DeepCast_10m_m2_094	10	471_1	No
M_DeepCast_10m_m2_070	10	470_1	No
M_DeepCast_10m_m1_011	10	468_11	No
M_DeepCast_10m_m2_203	10	467_1	No
M_DeepCast_10m_m1_213	10	457_1	No
M_DeepCast_10m_m2_093	10	456_1	No
M_DeepCast_10m_m2_028	10	454_1	No
M_DeepCast_10m_m2_114	10	451_1	No
M_DeepCast_10m_m1_168	10	447_1	No
M_DeepCast_10m_mx_063	10	445_1	No
M_DeepCast_10m_mx_191	10	443_1	No
M_DeepCast_10m_m2_088	10	439_1	No
M_surface_9_m2_010	9	439_1	No
M_DeepCast_10m_mx_107	10	403_1	No
M_DeepCast_10m_mx_102	10	401_1	No
M_DeepCast_10m_m2_121	10	400_2	No
M_DeepCast_10m_m2_042	10	370_1	No
M_DeepCast_10m_m2_192	10	356_1	No
M_DeepCast_10m_mx_192	10	355_1	No
M_DeepCast_10m_m2_050	10	352_2	No
M_DeepCast_10m_m2_082	10	325_2	No
M_DeepCast_10m_m2_104	10	323_6	No
M_DeepCast_10m_m2_004	10	322_1	No
M_DeepCast_10m_mx_196	10	309_1	No
M_DeepCast_10m_m1_161	10	308_1	No
M_DeepCast_10m_m1_149	10	305_2	No
M_DeepCast_10m_m2_074	10	304_1	No
M_DeepCast_10m_m1_151	10	303_1	No
M_DeepCast_10m_m2_167	10	302_1	No
M_DeepCast_10m_m2_123	10	300_2	No
M_DeepCast_10m_m1_148	10	299_1	No
M_DeepCast_10m_m1_174	10	295_1	No
M_DeepCast_10m_m1_222	10	292_1	No
M_DeepCast_10m_m2_054	10	286_1	No
M_DeepCast_10m_mx_007	10	284_10	No
M_DeepCast_10m_m1_110	10	284_4	No
M_DeepCast_10m_m2_067	10	283_1	No
M_DeepCast_10m_m1_218	10	280_1	No
M_DeepCast_10m_m2_186	10	276_1	No
M_surface_7_m1_010	7	270_1	No
M_DeepCast_10m_m1_195	10	269_2	No
M_DeepCast_10m_m2_046	10	242_1	No
M_DeepCast_10m_m1_022	10	227_1	No
M_DeepCast_10m_m2_156	10	208_1	No
M_DeepCast_10m_m1_173	10	205_1	No
M_DeepCast_10m_m2_005	10	203_1	No
M_DeepCast_10m_m2_152	10	202_1	No
M_DeepCast_10m_m2_006	10	201_1	No
M_DeepCast_10m_m1_051	10	200_1	No
M_DeepCast_10m_mx_147	10	199_1	No
M_DeepCast_10m_m2_033	10	198_1	No
K_Offshore_surface_m2_010	0	197_1	Representative sequence
M_DeepCast_10m_mx_120	10	197_1	No
M_DeepCast_10m_m2_183	10	196_1	No
M_DeepCast_10m_m2_134	10	195_1	No
M_DeepCast_10m_m2_182	10	194_1	No
M_DeepCast_10m_m1_206	10	193_1	No
M_DeepCast_10m_m1_193	10	190_1	No
M_DeepCast_10m_mx_098	10	187_1	No
M_DeepCast_10m_m2_039	10	184_1	No
M_DeepCast_10m_m2_207	10	181_1	No
M_DeepCast_10m_m1_209	10	177_1	No
M_DeepCast_10m_m1_165	10	175_1	No
M_DeepCast_10m_m1_220	10	173_1	No
M_DeepCast_10m_m2_072	10	171_1	No
M_DeepCast_10m_m1_162	10	170_1	No
M_DeepCast_10m_m1_183	10	169_1	No
M_surface_10_mx_010	10	168_1	No
M_DeepCast_10m_m2_066	10	168_1	No
M_DeepCast_10m_m1_164	10	161_1	No
M_DeepCast_10m_mx_008	10	155_1	No
M_DeepCast_10m_m1_144	10	154_1	No
M_DeepCast_10m_m2_017	10	153_1	No
M_DeepCast_10m_m2_064	10	147_1	No
M_DeepCast_10m_mx_072	10	146_2	No
M_DeepCast_10m_m2_190	10	144_1	No
K_Offshore_surface_m1_010	0	138_1	Representative sequence
M_surface_6_mx_010	6	130_3	No
M_DeepCast_10m_m1_205	10	126_1	No
M_DeepCast_10m_m1_201	10	125_1	No
M_DeepCast_10m_mx_151	10	86_1	No
M_surface_9_m1_011	9	582_1	No
K_Offshore_surface_m2_011	0	478_1	Representative sequence
M_surface_6_m1_011	6	352_1	No
M_surface_9_m2_011	9	203_1	No
M_surface_8_m2_011	8	190_1	No
M_surface_9_m1_012	9	513_1	No
M_surface_6_m1_012	6	454_1	No
M_surface_7_m1_012	7	173_1	No
M_surface_9_m1_013	9	578_1	Representative sequence
M_surface_6_m1_013	6	496_1	No
M_surface_7_m2_013	7	442_0	Representative sequence
M_surface_9_m2_013	9	195_1	No
M_surface_10_m1_014	10	497_1	No
K_Offshore_surface_m2_014	0	280_1	Representative sequence
M_surface_6_mx_014	6	170_1	No
M_surface_7_m1_014	7	156_1	No
M_surface_6_m2_015	6	439_1	No
M_surface_7_m2_015	7	302_1	No
M_surface_10_m1_016	10	492_1	No
M_surface_7_m1_016	7	322_1	No
M_surface_9_m1_016	9	286_1	No
M_surface_10_m2_016	10	126_1	No
M_surface_7_m2_017	7	503_1	No
M_surface_9_m1_017	9	498_1	Representative sequence
M_surface_7_m1_018	7	492_1	No
K_Offshore_surface_mx_018	0	308_1	No
K_Offshore_surface_mx_019	0	578_1	No
M_surface_10_m1_019	10	512_1	No
M_surface_7_m1_019	7	370_1	No
K_Offshore_surface_m2_019	0	305_2	No
M_surface_6_m2_020	6	578_1	No
K_Offshore_surface_m2_020	0	537_1	Representative sequence
M_surface_7_m1_021	7	498_1	No
M_surface_10_m1_021	10	498_1	No
M_surface_9_m2_021	9	473_1	No
M_surface_8_m1_021	8	295_1	No
M_surface_6_m2_021	6	269_2	No
M_surface_8_mx_021	8	155_1	No
K_Offshore_surface_m2_021	0	150_1	No
M_surface_10_m2_022	10	494_1	No
K_Offshore_surface_m2_022	0	449_1	No
M_surface_6_m1_022	6	302_1	No
M_surface_10_m1_023	10	500_1	No
K_Offshore_surface_m2_023	0	496_1	No
M_surface_6_m1_023	6	492_1	No
M_surface_10_m2_023	10	242_1	Representative sequence
M_surface_9_m1_024	9	500_1	No
K_Offshore_surface_mx_024	0	161_1	No
M_surface_7_m2_025	7	594_1	No
M_surface_7_m1_025	7	579_1	No
K_Offshore_surface_m2_025	0	456_1	No
M_surface_9_m2_025	9	201_1	No
M_surface_7_m1_026	7	500_1	No
K_Offshore_surface_m2_026	0	485_1	No
M_surface_10_m2_026	10	197_1	No
M_surface_7_m2_026	7	197_1	No
M_surface_8_m2_026	8	196_1	Representative sequence
K_Offshore_surface_m2_027	0	270_1	No
M_surface_9_m2_027	9	202_1	No
M_surface_7_m2_027	7	169_1	No
M_surface_9_mx_028	9	586_4	No
M_surface_10_m1_028	10	518_1	No
K_Offshore_surface_m2_028	0	454_1	No
M_surface_10_m1_029	10	541_1	No
K_Offshore_surface_m1_029	0	497_1	No
M_surface_10_m2_029	10	190_1	No
M_surface_9_m2_030	9	193_1	No
M_surface_10_m1_030	10	138_1	No
M_surface_9_mx_031	9	447_1	No
M_surface_9_m2_031	9	205_1	No
M_surface_7_m2_032	7	501_3	Representative sequence
M_surface_8_mx_032	8	284_10	No
K_Offshore_surface_m1_032	0	283_12	Representative sequence
K_Offshore_surface_m2_032	0	169_1	No
M_surface_6_mx_032	6	155_1	No
K_Offshore_surface_m1_033	0	305_1	No
M_surface_6_mx_034	6	503_1	No
M_surface_9_m2_034	9	472_1	No
K_DeepCast_35m_m1_130	35	597_1	No
K_DeepCast_35m_m2_213	35	594_1	No
K_DeepCast_35m_m2_136	35	590_1	No
K_DeepCast_35m_m2_072	35	585_1	No
K_DeepCast_35m_m2_203	35	579_1	No
K_DeepCast_35m_m2_331	35	578_1	No
K_DeepCast_35m_m1_080	35	577_2	No
K_DeepCast_35m_m2_307	35	574_1	No
K_DeepCast_35m_m2_065	35	572_1	Representative sequence
K_DeepCast_35m_m1_313	35	571_1	No
K_DeepCast_35m_m1_012	35	570_1	Representative sequence
K_DeepCast_35m_m2_001	35	569_1	No
K_DeepCast_35m_m2_181	35	566_1	No
K_DeepCast_35m_m1_008	35	564_1	No
K_DeepCast_35m_m2_208	35	559_1	No
K_DeepCast_35m_m2_049	35	557_2	No
K_DeepCast_35m_m2_004	35	556_10	No
K_DeepCast_35m_m1_052	35	556_1	Representative sequence
K_DeepCast_35m_m2_325	35	555_1	No
K_DeepCast_35m_m1_299	35	551_1	No
K_DeepCast_35m_m2_130	35	548_1	Representative sequence
K_DeepCast_35m_m1_157	35	542_1	No
K_DeepCast_35m_m1_042	35	541_1	No
K_DeepCast_35m_m2_031	35	540_1	No
K_DeepCast_35m_m2_199	35	526_1	No
M_surface_9_m1_035	9	518_1	No
K_DeepCast_35m_m2_169	35	518_1	No
K_DeepCast_35m_m2_296	35	515_1	No
K_DeepCast_35m_m2_096	35	513_1	Representative sequence
K_DeepCast_35m_m2_204	35	512_1	Representative sequence
K_DeepCast_35m_m1_073	35	511_1	Representative sequence
K_DeepCast_35m_m1_115	35	502_1	No
K_DeepCast_35m_m1_047	35	500_1	Representative sequence
K_DeepCast_35m_m2_272	35	499_1	No
K_DeepCast_35m_m1_021	35	498_1	No
K_DeepCast_35m_m2_223	35	497_1	No
K_DeepCast_35m_m2_091	35	496_1	No
K_DeepCast_35m_m2_185	35	494_1	No
K_DeepCast_35m_m2_209	35	493_1	No
K_DeepCast_35m_m1_034	35	492_1	No
K_DeepCast_35m_m2_180	35	485_1	No
K_DeepCast_35m_m2_321	35	478_1	No
K_DeepCast_35m_m2_309	35	473_1	No
K_DeepCast_35m_m1_288	35	474_0	Representative sequence
K_DeepCast_35m_m2_145	35	471_1	No
K_DeepCast_35m_m1_028	35	470_1	No
K_DeepCast_35m_m2_318	35	468_3	No
K_DeepCast_35m_m2_023	35	469_0	Representative sequence
K_DeepCast_35m_m2_155	35	467_1	Representative sequence
K_DeepCast_35m_m1_185	35	466_3	No
K_DeepCast_35m_m2_152	35	465_1	No
K_DeepCast_35m_m1_010	35	457_1	No
K_DeepCast_35m_m2_200	35	456_1	No
K_DeepCast_35m_m1_094	35	454_1	No
K_DeepCast_35m_m1_330	35	451_1	No
K_DeepCast_35m_m1_307	35	445_1	No
K_DeepCast_35m_m2_140	35	443_1	No
K_DeepCast_35m_m1_102	35	440_2	No
K_DeepCast_35m_m2_037	35	439_1	Representative sequence
K_DeepCast_35m_m1_327	35	401_1	No
K_DeepCast_35m_m2_259	35	400_2	Representative sequence
K_DeepCast_35m_m1_177	35	370_1	Representative sequence
K_DeepCast_35m_m2_302	35	356_1	No
K_DeepCast_35m_m2_067	35	355_1	Representative sequence
K_DeepCast_35m_m2_271	35	352_2	Representative sequence
K_DeepCast_35m_m1_317	35	334_1	Representative sequence
K_DeepCast_35m_m2_191	35	325_2	Representative sequence
K_DeepCast_35m_m1_325	35	323_1	No
K_DeepCast_35m_m2_087	35	322_1	No
K_DeepCast_35m_m1_280	35	308_1	No
K_DeepCast_35m_m2_224	35	305_2	No
K_DeepCast_35m_m2_003	35	304_1	No
K_DeepCast_35m_m1_263	35	303_1	No
K_DeepCast_35m_m2_016	35	302_1	No
K_DeepCast_35m_m2_132	35	301_1	No
K_DeepCast_35m_m2_150	35	300_1	Representative sequence
K_DeepCast_35m_m1_264	35	299_1	Representative sequence
K_DeepCast_35m_m1_310	35	295_1	No
K_DeepCast_35m_m2_074	35	286_1	No
M_surface_10_mx_035	10	284_10	No
K_DeepCast_35m_m1_077	35	283_13	Representative sequence
K_DeepCast_35m_m2_045	35	283_3	No
K_DeepCast_35m_m1_007	35	282_1	Representative sequence
K_DeepCast_35m_m2_316	35	280_1	No
K_DeepCast_35m_m2_131	35	276_1	No
K_DeepCast_35m_m1_013	35	269_2	No
K_DeepCast_35m_m2_327	35	258_0	Representative sequence
K_DeepCast_35m_m2_009	35	234_1	Representative sequence
K_Offshore_surface_mx_035	0	235_0	No
K_DeepCast_35m_m2_046	35	236_0	Representative sequence
K_DeepCast_35m_m1_088	35	233_1	Representative sequence
K_DeepCast_35m_m1_110	35	227_1	No
K_DeepCast_35m_m2_298	35	226_1	No
K_DeepCast_35m_m1_315	35	208_1	No
K_DeepCast_35m_m1_311	35	205_1	No
K_DeepCast_35m_m2_233	35	203_1	No
K_DeepCast_35m_m1_057	35	202_1	No
K_DeepCast_35m_m2_055	35	201_1	No
K_DeepCast_35m_m1_019	35	200_1	No
K_DeepCast_35m_m2_268	35	199_1	No
K_DeepCast_35m_m2_034	35	198_1	No
K_DeepCast_35m_m2_147	35	197_1	No
K_DeepCast_35m_m2_109	35	196_1	No
K_DeepCast_35m_m2_244	35	195_1	No
K_DeepCast_35m_m1_308	35	194_1	No
K_DeepCast_35m_m2_295	35	193_1	No
K_DeepCast_35m_m1_297	35	190_1	Representative sequence
K_DeepCast_35m_m1_281	35	187_1	No
K_DeepCast_35m_m1_287	35	184_1	No
K_DeepCast_35m_m2_201	35	181_1	No
K_DeepCast_35m_m2_019	35	177_1	No
K_DeepCast_35m_m2_148	35	175_1	No
K_DeepCast_35m_m1_018	35	173_1	Representative sequence
K_DeepCast_35m_m2_212	35	171_1	No
K_DeepCast_35m_m1_286	35	170_1	Representative sequence
K_DeepCast_35m_m2_058	35	169_1	No
K_DeepCast_35m_m1_144	35	168_1	No
K_DeepCast_35m_m2_314	35	161_1	No
K_DeepCast_35m_m2_305	35	156_1	No
