MAG	Depth	Cluster.ID	Representative.cluster	Representative.sequence
117	K_Offshore_0m_m2_189	0	304_1	No
118	K_DeepCast_0m_m2_129	0	304_1	No
119	K_Offshore_0m_m2_129	0	303_1	No
120	K_DeepCast_0m_m1_175	0	303_1	No
121	K_DeepCast_0m_m1_144	0	302_1	Representative sequence
122	K_Offshore_0m_m2_007	0	302_1	No
123	K_Offshore_0m_m2_087	0	301_1	No
124	K_DeepCast_0m_m2_113	0	301_1	No
125	K_Offshore_0m_mx_009	0	300_1	No
126	K_DeepCast_0m_m2_181	0	300_1	No
127	K_DeepCast_0m_m2_242	0	299_1	No
128	K_DeepCast_0m_mx_018	0	295_1	No
129	K_Offshore_0m_mx_067	0	295_1	No
130	K_Offshore_0m_m2_156	0	286_1	No
131	K_DeepCast_0m_mx_246	0	286_1	No
132	K_Offshore_0m_mx_117	0	283_10	Representative sequence
133	K_DeepCast_0m_m1_241	0	282_1	No
134	K_Offshore_0m_m1_189	0	280_1	No
135	K_DeepCast_0m_m2_216	0	280_1	No
136	K_DeepCast_0m_m2_081	0	276_1	No
137	K_Offshore_0m_mx_137	0	276_1	No
138	K_Offshore_0m_m1_158	0	270_1	No
139	K_DeepCast_0m_m2_091	0	269_2	No
140	K_Offshore_0m_mx_145	0	269_2	No
141	K_DeepCast_0m_m2_149	0	234_1	No
142	K_DeepCast_0m_m2_058	0	233_1	No
143	K_DeepCast_0m_m1_187	0	227_1	No
144	K_Offshore_0m_mx_037	0	226_1	Representative sequence
145	K_DeepCast_0m_m1_197	0	226_1	No
146	K_DeepCast_0m_m2_180	0	208_1	No
147	K_Offshore_0m_m1_154	0	208_1	No
148	K_Offshore_0m_m1_150	0	205_1	No
149	K_DeepCast_0m_m1_211	0	205_1	No
150	K_Offshore_0m_m1_151	0	204_1	No
151	K_DeepCast_0m_m2_145	0	203_1	No
152	K_Offshore_0m_m1_193	0	203_1	No
153	K_Offshore_0m_m1_037	0	201_1	No
154	K_DeepCast_0m_m1_046	0	201_1	No
155	K_Offshore_0m_m2_120	0	200_1	No
156	K_DeepCast_0m_m2_056	0	199_1	No
157	K_Offshore_0m_mx_109	0	199_1	No
158	K_DeepCast_0m_m2_122	0	198_1	No
159	K_Offshore_0m_m2_089	0	198_1	No
160	K_Offshore_0m_m2_173	0	197_1	No
161	K_DeepCast_0m_m1_217	0	197_1	No
162	K_Offshore_0m_m2_135	0	196_1	No
163	K_DeepCast_0m_m2_128	0	196_1	No
164	K_DeepCast_0m_m2_135	0	195_1	No
165	K_Offshore_0m_m2_014	0	195_1	No
166	K_Offshore_0m_m2_067	0	194_1	No
167	K_DeepCast_0m_m2_085	0	194_1	No
168	K_DeepCast_0m_m1_227	0	193_1	Representative sequence
169	K_Offshore_0m_m2_154	0	193_1	No
170	K_DeepCast_0m_m1_207	0	190_1	No
171	K_DeepCast_0m_m1_248	0	187_1	No
172	K_Offshore_0m_m1_131	0	184_1	No
173	K_DeepCast_0m_m1_194	0	184_1	No
174	K_DeepCast_0m_m2_079	0	181_1	No
175	K_Offshore_0m_m1_125	0	181_1	No
176	K_Offshore_0m_m2_119	0	177_1	No
177	K_DeepCast_0m_m1_239	0	177_1	No
178	K_DeepCast_0m_m2_197	0	175_1	No
179	K_Offshore_0m_m2_035	0	175_1	No
180	K_Offshore_0m_m1_196	0	173_1	No
181	K_DeepCast_0m_m2_008	0	173_1	No
182	K_DeepCast_0m_m2_137	0	170_1	No
183	K_Offshore_0m_m2_182	0	170_1	No
184	K_DeepCast_0m_m1_206	0	169_1	No
185	K_Offshore_0m_m2_004	0	169_1	No
186	K_DeepCast_0m_m2_050	0	168_1	No
187	K_Offshore_0m_mx_071	0	168_1	No
188	K_DeepCast_0m_m1_196	0	161_1	No
189	K_Offshore_0m_mx_007	0	161_1	No
190	K_Offshore_0m_mx_093	0	158_1	No
191	K_Offshore_0m_m1_130	0	156_1	No
192	K_Offshore_0m_m2_157	0	155_1	No
193	K_DeepCast_0m_mx_208	0	155_1	No
194	K_DeepCast_0m_m1_186	0	153_1	No
195	K_Offshore_0m_mx_064	0	153_1	No
196	K_Offshore_0m_m2_001	0	150_1	No
197	K_DeepCast_0m_m1_055	0	150_1	No
198	K_DeepCast_0m_mx_086	0	144_1	No
199	K_Offshore_0m_m1_031	0	138_1	No
200	K_Offshore_0m_mx_083	0	137_1	No
201	K_Offshore_0m_m1_005	0	134_1	No
202	K_Offshore_0m_m1_155	0	130_1	No
203	K_Offshore_0m_m2_077	0	130_3	No
204	K_DeepCast_0m_m2_077	0	126_1	No
205	K_DeepCast_0m_m1_010	0	125_1	No
206	K_DeepCast_0m_m2_176	0	124_1	No
207	K_DeepCast_0m_m2_147	0	6_1	No
208	K_Offshore_surface_m2_174	0	1_1	No
209	M_surface_6_m1_001	6	572_1	No
210	M_surface_7_m1_001	7	514_1	Representative sequence
211	M_surface_8_mx_001	8	470_1	No
212	M_surface_9_m2_001	9	304_1	No
213	M_surface_8_m2_002	8	439_1	No
214	M_surface_6_mx_002	6	276_1	No
215	K_Offshore_surface_m2_002	0	269_2	No
216	M_surface_8_m1_003	8	496_1	No
217	M_surface_7_m2_003	7	161_1	No
218	M_surface_10_m1_004	10	514_1	No
219	M_surface_7_m1_004	7	513_1	No
220	M_surface_9_m1_004	9	493_1	No
221	K_Offshore_surface_m1_004	0	404_1	No
222	M_surface_10_m2_004	10	304_1	No
223	K_Offshore_surface_m2_005	0	577_2	Representative sequence
224	M_surface_7_m1_005	7	553_1	No
225	M_surface_8_m1_005	8	512_1	No
226	M_surface_8_m2_006	8	356_1	No
227	M_surface_9_m1_006	9	199_1	No
228	M_surface_10_m2_006	10	196_1	No
229	M_surface_9_m2_006	9	161_1	No
230	M_surface_10_m1_007	10	513_1	No
231	M_surface_7_m2_008	7	551_1	No
232	M_surface_6_m1_008	6	501_3	No
233	M_surface_8_m1_008	8	492_1	No
234	M_surface_10_m1_008	10	470_1	No
235	M_surface_9_m1_008	9	322_1	No
236	M_surface_6_m2_009	6	499_1	No
237	M_surface_9_m1_009	9	497_1	Representative sequence
238	M_surface_7_m2_009	7	208_1	No
239	M_surface_9_mx_009	9	168_1	No
240	M_DeepCast_10m_mx_023	10	597_1	No
241	M_DeepCast_10m_mx_208	10	594_1	No
242	M_DeepCast_10m_m1_191	10	590_1	No
243	M_DeepCast_10m_m2_106	10	585_1	No
244	M_DeepCast_10m_m1_211	10	579_1	No
245	M_DeepCast_10m_m2_057	10	578_1	No
246	M_DeepCast_10m_m1_178	10	577_2	No
247	M_DeepCast_10m_mx_030	10	572_1	No
248	M_DeepCast_10m_m1_214	10	571_1	No
249	M_DeepCast_10m_m2_137	10	569_1	No
250	M_DeepCast_10m_m2_089	10	566_1	No
251	M_DeepCast_10m_m2_189	10	559_1	No
252	M_DeepCast_10m_m2_075	10	557_2	No
253	M_DeepCast_10m_m2_209	10	551_1	No
254	M_DeepCast_10m_mx_094	10	548_1	No
255	M_DeepCast_10m_m1_112	10	542_1	No
256	M_DeepCast_10m_m2_198	10	540_1	No
257	M_DeepCast_10m_m2_204	10	518_1	No
258	M_DeepCast_10m_m1_004	10	513_1	No
259	M_DeepCast_10m_m1_018	10	512_1	No
260	M_DeepCast_10m_m2_045	10	500_1	No
261	M_DeepCast_10m_m2_145	10	499_1	No
262	M_DeepCast_10m_m2_092	10	497_1	No
263	M_DeepCast_10m_m2_132	10	496_1	No
264	M_DeepCast_10m_mx_152	10	495_1	No
265	M_DeepCast_10m_m1_005	10	494_1	No
266	M_DeepCast_10m_m1_225	10	493_1	No
267	M_DeepCast_10m_m1_009	10	492_1	No
268	M_DeepCast_10m_m2_201	10	485_1	No
269	M_DeepCast_10m_m2_202	10	478_1	No
270	M_DeepCast_10m_m2_014	10	477_1	No
271	M_DeepCast_10m_m2_175	10	476_1	No
272	M_DeepCast_10m_m2_107	10	473_1	No
273	M_DeepCast_10m_mx_141	10	472_1	No
274	M_DeepCast_10m_m2_094	10	471_1	No
275	M_DeepCast_10m_m2_070	10	470_1	No
276	M_DeepCast_10m_m2_203	10	467_1	No
277	M_DeepCast_10m_m1_213	10	457_1	No
278	M_DeepCast_10m_m2_093	10	456_1	No
279	M_DeepCast_10m_m2_114	10	451_1	No
280	M_DeepCast_10m_m1_168	10	447_1	No
281	M_DeepCast_10m_mx_063	10	445_1	No
282	M_DeepCast_10m_mx_191	10	443_1	No
283	M_DeepCast_10m_m2_088	10	439_1	No
284	M_surface_9_m2_010	9	439_1	No
285	M_DeepCast_10m_mx_107	10	403_1	No
286	M_DeepCast_10m_mx_102	10	401_1	No
287	M_DeepCast_10m_m2_121	10	400_2	No
288	M_DeepCast_10m_m2_042	10	370_1	No
289	M_DeepCast_10m_m2_192	10	356_1	No
290	M_DeepCast_10m_mx_192	10	355_1	No
291	M_DeepCast_10m_m2_050	10	352_2	No
292	M_DeepCast_10m_m2_082	10	325_2	No
293	M_DeepCast_10m_m2_004	10	322_1	No
294	M_DeepCast_10m_mx_196	10	309_1	No
295	M_DeepCast_10m_m1_161	10	308_1	No
296	M_DeepCast_10m_m1_149	10	305_2	No
297	M_DeepCast_10m_m2_074	10	304_1	No
298	M_DeepCast_10m_m1_151	10	303_1	No
299	M_DeepCast_10m_m2_167	10	302_1	No
300	M_DeepCast_10m_m1_148	10	299_1	No
301	M_DeepCast_10m_m1_174	10	295_1	No
302	M_DeepCast_10m_m1_222	10	292_1	No
303	M_DeepCast_10m_m2_054	10	286_1	No
304	M_DeepCast_10m_m2_067	10	283_1	No
305	M_DeepCast_10m_m1_218	10	280_1	No
306	M_DeepCast_10m_m2_186	10	276_1	No
307	M_surface_7_m1_010	7	270_1	No
308	M_DeepCast_10m_m1_195	10	269_2	No
309	M_DeepCast_10m_m2_046	10	242_1	No
310	M_DeepCast_10m_m1_022	10	227_1	No
311	M_DeepCast_10m_m2_156	10	208_1	No
312	M_DeepCast_10m_m1_173	10	205_1	No
313	M_DeepCast_10m_m2_005	10	203_1	No
314	M_DeepCast_10m_m2_006	10	201_1	No
315	M_DeepCast_10m_m1_051	10	200_1	No
316	M_DeepCast_10m_mx_147	10	199_1	No
317	M_DeepCast_10m_m2_033	10	198_1	No
318	K_Offshore_surface_m2_010	0	197_1	Representative sequence
319	M_DeepCast_10m_mx_120	10	197_1	No
320	M_DeepCast_10m_m2_183	10	196_1	No
321	M_DeepCast_10m_m2_134	10	195_1	No
322	M_DeepCast_10m_m2_182	10	194_1	No
323	M_DeepCast_10m_m1_206	10	193_1	No
324	M_DeepCast_10m_m1_193	10	190_1	No
325	M_DeepCast_10m_mx_098	10	187_1	No
326	M_DeepCast_10m_m2_039	10	184_1	No
327	M_DeepCast_10m_m2_207	10	181_1	No
328	M_DeepCast_10m_m1_209	10	177_1	No
329	M_DeepCast_10m_m1_165	10	175_1	No
330	M_DeepCast_10m_m1_220	10	173_1	No
331	M_DeepCast_10m_m1_162	10	170_1	No
332	M_DeepCast_10m_m1_183	10	169_1	No
333	M_surface_10_mx_010	10	168_1	No
334	M_DeepCast_10m_m2_066	10	168_1	No
335	M_DeepCast_10m_m1_164	10	161_1	No
336	M_DeepCast_10m_mx_008	10	155_1	No
337	M_DeepCast_10m_m1_144	10	154_1	No
338	M_DeepCast_10m_m2_017	10	153_1	No
339	M_DeepCast_10m_m2_064	10	147_1	No
340	M_DeepCast_10m_mx_072	10	146_2	No
341	M_DeepCast_10m_m2_190	10	144_1	No
342	K_Offshore_surface_m1_010	0	138_1	Representative sequence
343	M_surface_6_mx_010	6	130_3	No
344	M_DeepCast_10m_m1_205	10	126_1	No
345	M_DeepCast_10m_m1_201	10	125_1	No
346	M_surface_9_m1_011	9	582_1	No
347	K_Offshore_surface_m2_011	0	478_1	Representative sequence
348	M_surface_6_m1_011	6	352_1	No
349	M_surface_9_m2_011	9	203_1	No
350	M_surface_8_m2_011	8	190_1	No
351	M_surface_9_m1_012	9	513_1	No
352	M_surface_7_m1_012	7	173_1	No
353	M_surface_9_m1_013	9	578_1	Representative sequence
354	M_surface_6_m1_013	6	496_1	No
355	M_surface_7_m2_013	7	442_0	Representative sequence
356	M_surface_9_m2_013	9	195_1	No
357	M_surface_10_m1_014	10	497_1	No
358	K_Offshore_surface_m2_014	0	280_1	Representative sequence
359	M_surface_6_mx_014	6	170_1	No
360	M_surface_7_m1_014	7	156_1	No
361	M_surface_6_m2_015	6	439_1	No
362	M_surface_7_m2_015	7	302_1	No
363	M_surface_10_m1_016	10	492_1	No
364	M_surface_7_m1_016	7	322_1	No
365	M_surface_9_m1_016	9	286_1	No
366	M_surface_10_m2_016	10	126_1	No
367	M_surface_9_m1_017	9	498_1	Representative sequence
368	M_surface_7_m1_018	7	492_1	No
369	K_Offshore_surface_mx_018	0	308_1	No
370	K_Offshore_surface_mx_019	0	578_1	No
371	M_surface_10_m1_019	10	512_1	No
372	M_surface_7_m1_019	7	370_1	No
373	K_Offshore_surface_m2_019	0	305_2	No
374	M_surface_6_m2_020	6	578_1	No
375	K_Offshore_surface_m2_020	0	537_1	Representative sequence
376	M_surface_7_m1_021	7	498_1	No
377	M_surface_10_m1_021	10	498_1	No
378	M_surface_9_m2_021	9	473_1	No
379	M_surface_8_m1_021	8	295_1	No
380	M_surface_6_m2_021	6	269_2	No
381	M_surface_8_mx_021	8	155_1	No
382	K_Offshore_surface_m2_021	0	150_1	No
383	M_surface_10_m2_022	10	494_1	No
384	K_Offshore_surface_m2_022	0	449_1	No
385	M_surface_6_m1_022	6	302_1	No
386	M_surface_10_m1_023	10	500_1	No
387	K_Offshore_surface_m2_023	0	496_1	No
388	M_surface_6_m1_023	6	492_1	No
389	M_surface_10_m2_023	10	242_1	Representative sequence
390	M_surface_9_m1_024	9	500_1	No
391	K_Offshore_surface_mx_024	0	161_1	No
392	M_surface_7_m2_025	7	594_1	No
393	M_surface_7_m1_025	7	579_1	No
394	K_Offshore_surface_m2_025	0	456_1	No
395	M_surface_9_m2_025	9	201_1	No
396	M_surface_7_m1_026	7	500_1	No
397	K_Offshore_surface_m2_026	0	485_1	No
398	M_surface_10_m2_026	10	197_1	No
399	M_surface_7_m2_026	7	197_1	No
400	M_surface_8_m2_026	8	196_1	Representative sequence
401	K_Offshore_surface_m2_027	0	270_1	No
402	M_surface_7_m2_027	7	169_1	No
403	M_surface_10_m1_028	10	518_1	No
404	M_surface_10_m1_029	10	541_1	No
405	K_Offshore_surface_m1_029	0	497_1	No
406	M_surface_10_m2_029	10	190_1	No
407	M_surface_9_m2_030	9	193_1	No
408	M_surface_10_m1_030	10	138_1	No
409	M_surface_9_mx_031	9	447_1	No
410	M_surface_9_m2_031	9	205_1	No
411	M_surface_7_m2_032	7	501_3	Representative sequence
412	K_Offshore_surface_m1_032	0	283_12	Representative sequence
413	K_Offshore_surface_m2_032	0	169_1	No
414	M_surface_6_mx_032	6	155_1	No
415	K_Offshore_surface_m1_033	0	305_1	No
416	M_surface_9_m2_034	9	472_1	No
417	K_DeepCast_35m_m1_130	35	597_1	No
418	K_DeepCast_35m_m2_213	35	594_1	No
419	K_DeepCast_35m_m2_136	35	590_1	No
420	K_DeepCast_35m_m2_072	35	585_1	No
421	K_DeepCast_35m_m2_203	35	579_1	No
422	K_DeepCast_35m_m2_331	35	578_1	No
423	K_DeepCast_35m_m1_080	35	577_2	No
424	K_DeepCast_35m_m2_307	35	574_1	No
425	K_DeepCast_35m_m2_065	35	572_1	Representative sequence
426	K_DeepCast_35m_m1_313	35	571_1	No
427	K_DeepCast_35m_m1_012	35	570_1	Representative sequence
428	K_DeepCast_35m_m2_001	35	569_1	No
429	K_DeepCast_35m_m2_181	35	566_1	No
430	K_DeepCast_35m_m1_008	35	564_1	No
431	K_DeepCast_35m_m2_208	35	559_1	No
432	K_DeepCast_35m_m2_049	35	557_2	No
433	K_DeepCast_35m_m1_052	35	556_1	Representative sequence
434	K_DeepCast_35m_m2_325	35	555_1	No
435	K_DeepCast_35m_m1_299	35	551_1	No
436	K_DeepCast_35m_m2_130	35	548_1	Representative sequence
437	K_DeepCast_35m_m1_157	35	542_1	No
438	K_DeepCast_35m_m1_042	35	541_1	No
439	K_DeepCast_35m_m2_031	35	540_1	No
440	M_surface_9_m1_035	9	518_1	No
441	K_DeepCast_35m_m2_169	35	518_1	No
442	K_DeepCast_35m_m2_296	35	515_1	No
443	K_DeepCast_35m_m2_096	35	513_1	Representative sequence
444	K_DeepCast_35m_m2_204	35	512_1	Representative sequence
445	K_DeepCast_35m_m1_073	35	511_1	Representative sequence
446	K_DeepCast_35m_m1_047	35	500_1	Representative sequence
447	K_DeepCast_35m_m2_272	35	499_1	No
448	K_DeepCast_35m_m1_021	35	498_1	No
449	K_DeepCast_35m_m2_223	35	497_1	No
450	K_DeepCast_35m_m2_091	35	496_1	No
451	K_DeepCast_35m_m2_185	35	494_1	No
452	K_DeepCast_35m_m2_209	35	493_1	No
453	K_DeepCast_35m_m1_034	35	492_1	No
454	K_DeepCast_35m_m2_180	35	485_1	No
455	K_DeepCast_35m_m2_321	35	478_1	No
456	K_DeepCast_35m_m2_309	35	473_1	No
457	K_DeepCast_35m_m1_288	35	474_0	Representative sequence
458	K_DeepCast_35m_m2_145	35	471_1	No
459	K_DeepCast_35m_m1_028	35	470_1	No
460	K_DeepCast_35m_m2_023	35	469_0	Representative sequence
461	K_DeepCast_35m_m2_155	35	467_1	Representative sequence
462	K_DeepCast_35m_m2_152	35	465_1	No
463	K_DeepCast_35m_m1_010	35	457_1	No
464	K_DeepCast_35m_m2_200	35	456_1	No
465	K_DeepCast_35m_m1_330	35	451_1	No
466	K_DeepCast_35m_m1_307	35	445_1	No
467	K_DeepCast_35m_m2_140	35	443_1	No
468	K_DeepCast_35m_m2_037	35	439_1	Representative sequence
469	K_DeepCast_35m_m1_327	35	401_1	No
470	K_DeepCast_35m_m2_259	35	400_2	Representative sequence
471	K_DeepCast_35m_m1_177	35	370_1	Representative sequence
472	K_DeepCast_35m_m2_302	35	356_1	No
473	K_DeepCast_35m_m2_067	35	355_1	Representative sequence
474	K_DeepCast_35m_m2_271	35	352_2	Representative sequence
475	K_DeepCast_35m_m1_317	35	334_1	Representative sequence
476	K_DeepCast_35m_m2_191	35	325_2	Representative sequence
477	K_DeepCast_35m_m2_087	35	322_1	No
478	K_DeepCast_35m_m1_280	35	308_1	No
479	K_DeepCast_35m_m2_224	35	305_2	No
480	K_DeepCast_35m_m2_003	35	304_1	No
481	K_DeepCast_35m_m1_263	35	303_1	No
482	K_DeepCast_35m_m2_016	35	302_1	No
483	K_DeepCast_35m_m2_132	35	301_1	No
484	K_DeepCast_35m_m2_150	35	300_1	Representative sequence
485	K_DeepCast_35m_m1_264	35	299_1	Representative sequence
486	K_DeepCast_35m_m1_310	35	295_1	No
487	K_DeepCast_35m_m2_074	35	286_1	No
488	K_DeepCast_35m_m1_077	35	283_13	Representative sequence
489	K_DeepCast_35m_m1_007	35	282_1	Representative sequence
490	K_DeepCast_35m_m2_316	35	280_1	No
491	K_DeepCast_35m_m2_131	35	276_1	No
492	K_DeepCast_35m_m1_013	35	269_2	No
493	K_DeepCast_35m_m2_327	35	258_0	Representative sequence
494	K_DeepCast_35m_m2_009	35	234_1	Representative sequence
495	K_DeepCast_35m_m2_046	35	236_0	Representative sequence
496	K_DeepCast_35m_m1_088	35	233_1	Representative sequence
497	K_DeepCast_35m_m1_110	35	227_1	No
498	K_DeepCast_35m_m2_298	35	226_1	No
499	K_DeepCast_35m_m1_315	35	208_1	No
500	K_DeepCast_35m_m1_311	35	205_1	No
501	K_DeepCast_35m_m2_233	35	203_1	No
502	K_DeepCast_35m_m2_055	35	201_1	No
503	K_DeepCast_35m_m1_019	35	200_1	No
504	K_DeepCast_35m_m2_268	35	199_1	No
505	K_DeepCast_35m_m2_034	35	198_1	No
506	K_DeepCast_35m_m2_147	35	197_1	No
507	K_DeepCast_35m_m2_109	35	196_1	No
508	K_DeepCast_35m_m2_244	35	195_1	No
509	K_DeepCast_35m_m1_308	35	194_1	No
510	K_DeepCast_35m_m2_295	35	193_1	No
511	K_DeepCast_35m_m1_297	35	190_1	Representative sequence
512	K_DeepCast_35m_m1_281	35	187_1	No
513	K_DeepCast_35m_m1_287	35	184_1	No
514	K_DeepCast_35m_m2_201	35	181_1	No
515	K_DeepCast_35m_m2_019	35	177_1	No
516	K_DeepCast_35m_m2_148	35	175_1	No
517	K_DeepCast_35m_m1_018	35	173_1	Representative sequence
518	K_DeepCast_35m_m1_286	35	170_1	Representative sequence
519	K_DeepCast_35m_m2_058	35	169_1	No
520	K_DeepCast_35m_m1_144	35	168_1	No
521	K_DeepCast_35m_m2_314	35	161_1	No
522	K_DeepCast_35m_m2_305	35	156_1	No
523	K_DeepCast_35m_m1_266	35	155_1	No
524	K_DeepCast_35m_m2_175	35	153_1	No
525	K_DeepCast_35m_m2_319	35	150_1	No
526	K_DeepCast_35m_m1_304	35	148_1	No
527	K_DeepCast_35m_m1_027	35	124_1	Representative sequence
528	K_DeepCast_35m_m1_029	35	107_1	No
529	K_DeepCast_35m_m1_037	35	6_1	Representative sequence
530	K_Offshore_surface_m1_036	0	513_1	No
531	M_surface_10_m2_037	10	587_1	No
532	M_surface_7_m2_037	7	473_1	Representative sequence
533	M_surface_6_m2_037	6	175_1	No
534	K_Offshore_surface_m1_038	0	572_1	No
535	M_surface_7_m1_038	7	518_1	No
536	M_surface_10_m2_038	10	300_1	No
537	M_surface_10_m2_039	10	553_2	Representative sequence
538	K_Offshore_surface_m1_039	0	544_1	No
539	M_surface_6_m1_039	6	447_1	No
540	K_Offshore_40m_mx_001	40	597_1	No
541	K_Offshore_40m_mx_112	40	594_1	No
542	K_Offshore_40m_m1_289	40	590_1	No
543	K_Offshore_40m_m1_037	40	587_1	No
544	K_Offshore_40m_m1_261	40	585_1	No
