MAG	Taxonomy	Domain	Completeness_checkm	Contamination_checkm	Completeness_DasTool	Contamination_DasTool	Numer of genomoes in dRep cluster	fccB	sulfide_quinone_oxidoreductase_sqr	sulfur_dioxygenase_sdo	aprA	sat	cysC	cysN	thiosulfate_reductase_phsA	dsrA	dsrB	dsrC	dsrD	dsrE	dsrF	dsrH	dsrJ	dsrK	dsrM	dsrO	dsrP	dsrR	dsrS	dsrT	soxA	soxB	soxD	soxX	soxY	soxYZ-like	soxZ	FeFeHydrogenase	FeFeHydrogenase_2	Hydrogenase_Group_1	Hydrogenase_Group_2a	Hydrogenase_Group_2b	Hydrogenase_Group_3b	Hydrogenase_Group_3c	Hydrogenase_Group_3d	Hydrogenase_Group_4	pmoA	pmoB	pmoC	mmoB	mmoD	mcrA	mcrB	mcrC	amoA	Archeael_amoB	Archeael_amoC	nifA_Mo	nifB_Mo	nifH	nitrite_oxidoreductase_nxrA	nitrite_oxidoreductase_nxrB	napA	napB	narG	narH	nrfH	nrfA	nirB	nirD	nirK	nitrite_reductase_nirS	nitric_oxide_reductase_norB	nitric_oxide_reductase_norC	nosD	nosZ	hydrazine_oxidase_hzoA	hydrazine_synthase_hzsA	octR	ureA	ureB	ureC	coxA	coxB	ccoN	ccoO	ccoP	cyoA	cyoD	cyoE	cydA	cydB	qoxA	ndma_methanol_dehydrogenase	madA	madB	fdh_thiol_id	sfh	sgdh	smdh	fae	fmtf	mtmc	fdhA	fdhB	fdhC	carbon_monoxide_dehydrogenase_coxL	carbon_monoxide_dehydrogenase_coxM	carbon_monoxide_dehydrogenase_coxS	rubisco_form_I	rubisco_form_II	rubisco_form_II_III	rubisco_form_III	rubisco_form_IV	Four-hydroxybutyryl-CoA-dehydratase	Four-hydroxybutyryl-CoA-synthetase	codhC	codhD	codh_catalytic	acetate_citrate_lyase_aclA	acetate_citrate_lyase_aclB	hdh	rdh	cld	ars_ox	ars_ox_2	arsC	ars_thioredoxin	ars_glutaredoxin	ygfK	ygfM	sel_mo	nthA	nthB	mtrA	mtrC
K_Offshore_surface_m2_010	Actinobacteria acIV-C	Bacteria	96.58	1.28	92.16	3.92	12			1			1	1																																																																					1	1						1																	2	1	1															1												
K_DeepCast_0m_m1_227	Actinobacteria acIV-C	Bacteria	84.62	1.28	90.2	0	24			1			1	2																																																																																													2	1	1																											
K_Offshore_40m_m2_150	Actinobacteria acSTL	Bacteria	90.27	3.41	100	3.92	3						1	1																											1																																							1	1	1	1	2						1	2	2								1				1			2	1	2							1																				
K_Offshore_40m_m1_268	Actinobacteria acSTL	Bacteria	94.14	0	100	0	20						1	1																																																																		1	1	1	1	1						1	1	1								1				1			2	1	2																											
K_Offshore_80m_m2_226	Actinobacteria acSTL	Bacteria	92.22	0.54	98.04	1.96	19						1	1																																																																						1						1																1	2	1	2													1														
M_surface_9_m2_101	Actinobacteria acTH1	Bacteria	64.36	1.33	92.16	2.63	22						1	1																																																																					1	2						1																								1																						
M_surface_7_m2_239	Actinobacteria Iluma-A1	Bacteria	91.45	1.71	98.04	1.96	24			1			1	1																																																																					1	1						1																	2	1	1																											
K_DeepCast_300m_m2_027	Actinobacteria Iluma-A1	Bacteria	91.28	11.54	98.04	5.88	1			1			1	1																																																																					1	1																							3	2	1																											
M_DeepCast_50m_m2_117	Actinobacteria Iluma-A1	Bacteria	89.74	1.71	92.16	1.96	23			1			1	1																																																																					1	1																							2	1	1																											
K_DeepCast_250m_m1_172	CP Aenigmarchaeota	Archaea	76.07	4.05	86.84	13.16	4																																																																																																									1		1																						
K_DeepCast_65m_m1_262	Alphaproteobacteria non LD12	Bacteria	69.53	8.5	68.63	5.88	1	1	1		3	2	1			1	1			1			1	1							1			2			1																																			2													1	1																		1						1				1		2						1			1	1										1
K_DeepCast_300m_mx_266	Alphaproteobacteria non LD12	Bacteria	15.72	2.19	50.98	5.88	1										1	1		1	1	1		1									1				1																																			1											1	1																						1				1				1																						1
K_Offshore_40m_mx_105	Alphaproteobacteria non LD12	Bacteria	99	1	96.08	3.92	8	2		1			1	1																	1	1	1	1	1		2																																											1	1	1	1	1	1					1									1							1	6	2	1					1	1							1											2			
K_Offshore_80m_m2_186	Alphaproteobacteria non LD12	Bacteria	98.85	3.48	100	0	3			2	1	1	2	1																																																			1	1																	1	1						1																	5	1	2					1	3	1											1						1			
K_Offshore_80m_m2_228	Alphaproteobacteria non LD12	Bacteria	98.26	0	98.04	2.63	6	1		1			1	1																		1	1		1		1																																														1	1						1									1					1			5	1	3					2		4						3					1						1			
K_Offshore_40m_m1_238	Alphaproteobacteria non LD12	Bacteria	98.12	2.27	100	5.88	3			1		1	1																												1																																							1	1	1	1	1						1	1	1						1	1					1			2	2	2																											
K_Offshore_80m_m2_191	Alphaproteobacteria non LD12	Bacteria	98.04	1.52	100	0	3	1		1																					1	1	1	1	1		2																																														1	1	1	2	1			1									1					1			34	3	9					1	8	2						1	1				1						1			
K_Offshore_80m_m2_123	Alphaproteobacteria non LD12	Bacteria	97.78	2.22	96.08	0	6	2		2		1	1																		2	1	1	2	1		2																												1	1														1	1	1	1	1	1	1	1			1									1					1		1	21	3	7						8	2						2					1						1	1		
M_DeepCast_65m_m2_016	Alphaproteobacteria non LD12	Bacteria	97.58	0.1	100	0	11			1			1	2																						1																																															1	1						1	1	1									1	1	1	1																																
M_DeepCast_50m_m2_221	Alphaproteobacteria non LD12	Bacteria	97.26	2.34	100	0	13			2		1	1	1																																																																		1	1	1	1	1						1									1					1			4	2	2						2	1																	2	2		
K_Offshore_80m_m2_107	Alphaproteobacteria non LD12	Bacteria	96.96	4.39	96.08	2.63	9	1		1			1	1																	1			1			2																												1	1																	1	1						1								1	1					1	1	1	6	2	3							2						2											1			
M_DeepCast_50m_m2_111	Alphaproteobacteria non LD12	Bacteria	96.59	0.87	100	0	7	1		1	1	1	1	1																	2	1	1	2	1		2																												1	1						2											2	2	1	1	1			1									1					1		1	8	3	4					1	2	3						3											2			
K_DeepCast_35m_m2_271	Alphaproteobacteria non LD12	Bacteria	96.09	4.8	98.04	15.69	14	3																							2	1	1	2	1		4																																											1	1	1		1						1								1						1		1	5	1	1					1		1						2											1	1		
M_surface_9_m2_109	Alphaproteobacteria non LD12	Bacteria	95.98	1.03	100	1.96	20	2		1																					2			2			2																																											1	1	1	1	1						1									1						1	1	7	2	1					1		3						1					1						1	1		
K_Offshore_80m_m2_187	Alphaproteobacteria non LD12	Bacteria	95.9	4.39	98.04	3.92	6			2			1	2																																				2											1	1																		2	3	3		1															1					1			11	2	5					1	3	4						2					1						2	1		
K_DeepCast_35m_m2_067	Alphaproteobacteria non LD12	Bacteria	95.61	0.78	98.04	1.96	24	2		2																					2	1	1	2	1		2																												1	1														1	1	1	1	1						1									1					1	1	1	11	3	3					1	4	2						3					1						1	2		
K_Offshore_80m_m2_101	Alphaproteobacteria non LD12	Bacteria	94.22	1.06	98.04	5.88	1		1	1			3	1																			1																																																									1									1					1			3		2					1		1											1						1	1		1
M_DeepCast_65m_m2_129	Alphaproteobacteria non LD12	Bacteria	93.99	0.25	98.04	0	1	1		1	1	1				1	1	1		1	1	1	1	1	1	1					2	1	1	2	1		2																										1	1								2								1	1	1	1	1	1	1	1			2														1		1	3	1	2							2						2	1										1	1		
K_DeepCast_35m_m1_027	Alphaproteobacteria non LD12	Bacteria	93.55	3.23	98.04	0	7																																																																												1	1						1																																														
K_DeepCast_35m_m1_317	Alphaproteobacteria non LD12	Bacteria	66.97	8.08	72.55	5.88	1	2	1																						1			1																																																		1						1																	3	2	2													1														
M_DeepCast_65m_m2_243	Alphaproteobacteria non LD12	Bacteria	90.09	7.43	98.04	7.89	1	1	1		1	1				1	1	1		1	1	1	1		1	1					1	1	1	4	1		2																										1	2								2								1	1	1	1	1	1	1	1			2														1		1	5	2	2							3						2			1	2	1									
K_Offshore_surface_m1_194	Alphaproteobacteria non LD12	Bacteria	96.16	5.39	96.08	5.88	8	3		2																					3	1	1	3	1		4																																											1	1	1	1	1						1								1	1					1		1	5	2	2					2		1						2											1	1		
K_Offshore_80m_m2_162	Alphaproteobacteria non LD12	Bacteria	93.48	1.91	100	0	3	1		1			1	1																	1		2	1			1																																											1	1	1	1	1						1																				1				1		2																				
K_Offshore_80m_m2_051	Alphaproteobacteria non LD12	Bacteria	93.45	1.74	60.78	1.96	4	1		3			2	1																	1			1	1		2																										1	1																			2	2	1	1	1			1								1	1					1	1	1	5							2		2						2											1			
M_surface_10_m2_180	Alphaproteobacteria non LD12	Bacteria	93.17	1.12	98.04	3.92	20																																																																									1	1	1	1	1						1														1			2		1					1								1					2									
K_DeepCast_250m_m2_101	Alphaproteobacteria non LD12	Bacteria	57.45	8.99	80.39	25.49	1			1			1	2																						1											2		3											1																							2	2						1											4	1		3																							1									
K_Offshore_80m_m2_053	Alphaproteobacteria non LD12	Bacteria	92.9	1.59	98.04	7.89	5			1			1	1																	2	1	1	3	2		2																												1	1																	1	1	1					1														1		1	7	3	2					2		5						3	1													
K_Offshore_120m_m2_043	Alphaproteobacteria non LD12	Bacteria	92.03	2.37	94.12	7.84	4	1					1	1																	2	1	1	2	1		2																												1															1	1	2		1	1	1	1	1	1	1	2	1							1					1	1	1	10	3	3					1	3	3						3					1						1	1		
M_surface_6_m2_121	Alphaproteobacteria non LD12	Bacteria	90.11	1.1	96.08	7.84	1			2																																																																																	1																																													
M_DeepCast_65m_m1_296	Alphaproteobacteria non LD12	Bacteria	98.28	45.12	100	35.29	1	2		2	1	2				2	2	3		2	2	2	2	2	2	1	2				3	2	2	3	1		4																										1	2	1	1						3								1	2	2	1	2	2	1	2			2														2		1	8	6	2					1		4						4					1						1	2		
M_surface_10_m2_064	Alphaproteobacteria non LD12	Bacteria	88.53	0.28	94.12	2.63	21			1																																																																									1	1						1																								1																						
M_DeepCast_50m_m1_063	Alphaproteobacteria non LD12	Bacteria	87.36	2.43	92.16	5.88	2																																																																														1	1	1																																																	
K_Offshore_40m_mx_120	Alphaproteobacteria non LD12	Bacteria	99.97	7.96	100	7.84	8	1		1			1	1																	1	1	1	1	1		2																																											1	1	1	1	1						1																1	7	2	2					2	2							1											2			
M_DeepCast_200m_m2_174	Alphaproteobacteria non LD12	Bacteria	67.85	15.51	70.59	15.69	1	2		1																					1	2	2	1	1		3																																											1	1	1		1						1																1	4	2	1					1								1														
M_DeepCast_400m_m1_040	Alphaproteobacteria non LD12	Bacteria	86.06	0.18	94.12	3.92	1							1																																																																						1				1	1	1								1																1													1									
K_Offshore_80m_m2_081	Alphaproteobacteria non LD12	Bacteria	62.52	7.53	68.63	11.76	1	2		1																					2			2			1																																			2								1	1	1					1			1								1	1					1			3		2							3						2											1	1		
M_DeepCast_65m_m1_275	Alphaproteobacteria non LD12	Bacteria	82.59	2.85	90.2	9.8	1	1			1					1	1	1		1	1	1	1	1	1	1	1				1	1	1	1			1																																			2								1	1	2		2	1	1	1																	1		1			2	1				2		2						1			1		1									
M_surface_8_m2_185	Alphaproteobacteria non LD12	Bacteria	81.43	0.63	96.08	0	24			1	1																																																																								1	1						1														1			1		1																											
M_DeepCast_400m_m1_328	Alphaproteobacteria non LD12	Bacteria	79.68	1.26	88.24	5.88	2					1	1																							1																																	1	1										1	1	1	2	2	1	1	1			1	1	1					1	1	1					1	1	1				1				2								1					1									
K_Offshore_40m_m2_283	Alphaproteobacteria non LD12	Bacteria	73.56	1.42	66.67	3.92	3																																																																												2	1						1																		1	1						1							1					1									
K_Offshore_80m_m2_146	Alphaproteobacteria non LD12	Bacteria	70.05	0.74	54.9	1.96	2																																																																												1							1																			1						1							2														
K_DeepCast_35m_m2_327	Alphaproteobacteria non LD12	Bacteria	61.67	0	80.39	3.92	1																																																																																																																																	
K_Offshore_80m_m2_048	Alphaproteobacteria non LD12	Bacteria	60.53	0.94	64.71	13.73	2	1				1																				1																																																																											3	1	1					1		2						1											1			
K_Offshore_80m_m1_144	Alphaproteobacteria non LD12	Bacteria	55.84	16.8	78.43	17.65	1			1		1	2	1																		1																													1																								1																					1	5	1	4					1	3	3						1														
K_Offshore_80m_m2_115	Alphaproteobacteria non LD12	Bacteria	97.79	5.14	100	1.96	6	1		3																											1																																														1	1						1									1					1		1	18	1	5					1	1	3						3											1			
K_Offshore_80m_m1_220	Alphaproteobacteria non LD12	Bacteria	69.82	5.16	86.27	19.61	1			1			1	1																																																																					1	1						1														1			5		1					1	3	5						4					1									
K_Offshore_80m_m2_049	Alphaproteobacteria non LD12	Bacteria	65.93	5.76	62.75	5.88	1			1			1	1																																																																					2	1	1					1														1			14		3						1	2											2						2	1		
K_DeepCast_1200m_m2_124	Alphaproteobacteria non LD12	Bacteria	72.04	5.23	68.63	5.26	1			1				1																																																																					2	1					1	1								1	1																												2									
K_DeepCast_250m_m1_099	Alphaproteobacteria non LD12	Bacteria	89.84	62.26	76.47	25.49	1	3		2			1	1																	1	2	2	1	2		4																																											1	1	1	2	2						2									1							2	6	4						3	1																		3			
K_Offshore_80m_m2_061	Alphaproteobacteria non LD12	Bacteria	89.43	5.8	90.2	15.69	1					1	1																																																																			1	1	1	1	1						1														1			5	1	3					1	2	2						2											1			
K_Offshore_40m_m2_131	Alphaproteobacteria non LD12	Bacteria	87.85	5.14	92.16	10.53	2																																																																														1	1	1																																																	
M_DeepCast_65m_m1_170	Alphaproteobacteria non LD12	Bacteria	35.48	0.06	52.94	0	1																																																											1																			1																														1	1																				
M_DeepCast_400m_m2_041	Alphaproteobacteria non LD12	Bacteria	83.4	23.37	88.24	21.57	1		1																																																																											2				1		1								1																1													1									
M_DeepCast_100m_m1_138	Alphaproteobacteria non LD12	Bacteria	34.9	0.86	50.98	3.92	1	1				1	1																		1																																																			1																									1	1																												
K_Offshore_80m_m2_085	Alphaproteobacteria non LD12	Bacteria	32.74	0.22	43.14	0	1	1						1																	1			1			1																																														1	1						1											1	1	1					1	2																											
K_Offshore_80m_m1_082	Alphaproteobacteria non LD12	Bacteria	21.89	0	54.9	0	1		1																																																																																																	1										1						1														
M_DeepCast_400m_m2_294	Alphaproteobacteria non LD12	Bacteria	46.98	3.19	49.02	3.92	1							1																																																																										1		1								1																													1									
M_DeepCast_65m_mx_036	Alphaproteobacteria non LD12	Bacteria	96.99	2.85	100	0	3		1	2			1	2																						1							1					2	2																	1									1								3	2						1	1	1									5	1	1	3																							1									
M_DeepCast_65m_m1_022	Alphaproteobacteria non LD12	Bacteria	93.83	3.64	98.04	0	3		1	1			1	1																						1							2				1	1	1																																		2	1						1	1	1									4	1	1	1																							1									
M_DeepCast_65m_m1_019	Alphaproteobacteria non LD12	Bacteria	89.77	1.11	100	0	2		1					1																						1							1																																								1	1	1	1	1			1											4	1	1	1																																
K_Offshore_40m_m1_243	Alphaproteobacteria non LD12	Bacteria	77.47	1.1	76.47	2.63	3	1																							1		1	1	1		1																																											1	1	1			1					1																1	7	1	4						2	2							1				1						1			
K_DeepCast_100m_mx_141	Alphaproteobacteria non LD12	Bacteria	94.86	7.9	100	3.92	1		1	1			1	2																						1							4				2	2	3									1	1	1					3	2			1	1													2	1						1	1	1									4	2	1	1																		1					1						1			
M_DeepCast_65m_m2_041	Alphaproteobacteria non LD12	Bacteria	98.89	6.65	100	1.96	4	1	1	2			1	2																						1							1				2	1	3									1	1	1					1	2			1	1													2	1						1	1	1									6	1	1	1																		1					2						1			
M_DeepCast_200m_mx_060	Alphaproteobacteria non LD12	Bacteria	76.69	6.18	80.39	2.63	1		1	1				1																																	1	1	3																2	1																	3	2						1	1	1									4		1	1																							1									
K_DeepCast_65m_m2_082	Alphaproteobacteria non LD12	Bacteria	90.91	27.56	96.08	29.41	1		1	3			1	1																						1							1				2	2	4																																			2						1	1	1									6	2	1																								1									
