NCBI Genome Submission ID	NCBI BioSample Submission ID	Genome (MAG Identifier)	TaxAss-kingdom	TaxAss-phylum	TaxAss-class	TaxAss-order	TaxAss-lineage	TaxAss-clade	TaxAss-tribe	Congruent Taxonomy	Candidate phyla	DPANN	Domain	Number of MAG in cluster dRep	Completeness DasTool	Contamination DasTool	Taxonomy GTDB-Tk	Taxonomy NCBI	Strain name	Genome completeness CheckM	Genome contamination CheckM	Strain heterogeneity CheckM	16S rRNA phylogeny CheckM	Number of ambiguous bases	Number of contigs	Number of  predicted genes	Number of scaffolds	Coding density	GC	GC std	Genome size (bp)	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs
VGBB00000000	SAMN10966284	M_DeepCast_200m_m1_155								Actinobacteria			Bacteria	4	90.2	35.29	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_200m_m1_155 [Domain]	94.83	68.89	46.48		0	1417	5759	1417	0.840	0.33	0	5051478	34315	34315	3565	3565	4041	4041	11	67	0	0	0	1	68
VGBC00000000	SAMN10966285	M_DeepCast_200m_mx_161								Actinobacteria			Bacteria	5	60.78	11.76	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_200m_mx_161 [Domain]	34.08	3.37	87.5		0	177	592	177	0.888	0.35	0	553761	13382	13382	3129	3129	3832	3832	11	7	0	0	0	0	7
VGBD00000000	SAMN10966286	K_DeepCast_250m_m1_088								Actinobacteria			Bacteria	5	86.27	35.29	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_250m_m1_088 [Domain]	66.22	27.77	58.14		0	909	3643	909	0.834	0.33	0	3007614	38272	38272	3309	3309	3616	3616	11	54	0	0	0	1	55
VGBF00000000	SAMN10966288	K_DeepCast_300m_m1_095	Bacteria(100)	TA06(100)	unclassified	unclassified	unclassified	unclassified	unclassified	Actinobacteria			Bacteria	1	47.06	2.63	d__Bacteria;p__Actinobacteriota;c__RBG-13-55-18;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_300m_m1_095 [Domain]	26.9	1.82	0	Bacteria;AC1;uncultured bacterium SHA-114	0	425	1164	425	0.903	0.66	0	928753	6200	6200	2185	2185	2165	2165	11	12	0	0	0	1	13
VGKQ00000000	SAMN10966533	M_DeepCast_400m_m2_082								CP Pacearchaeota	X	X	Archaea	5	78.95	10.53	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon M_DeepCast_400m_m2_082 [Phylum]	71.88	0	0	Archaea;Woesearchaeota (DHVEG-6);uncultured euryarchaeote	0	70	1323	70	0.880	0.33	0	1064373	88827	88827	15205	15205	35057	35057	11	44	0	0	2	1	47
VGKS00000000	SAMN10966535	M_DeepCast_50m_m2_169								CP Pacearchaeota	X	X	Archaea	10	78.95	2.63	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__UBA73;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon M_DeepCast_50m_m2_169 [Phylum]	65.81	0	0	Archaea;Woesearchaeota (DHVEG-6);hydrothermal vent metagenome	0	43	853	43	0.903	0.33	0	685645	50014	50014	15945	15945	32036	32036	11	39	0	0	0	0	39
VGKO00000000	SAMN10966531	K_DeepCast_100m_m1_149								CP Pacearchaeota	X	X	Archaea	2	76.32	10.53	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon K_DeepCast_100m_m1_149 [Phylum]	66.74	1.87	100	Archaea;Woesearchaeota (DHVEG-6);uncultured archaeon	0	80	952	80	0.899	0.32	0	751174	75512	75512	9390	9390	19693	19693	11	43	0	0	0	0	43
VGKR00000000	SAMN10966534	M_DeepCast_400m_m2_303								CP Pacearchaeota	X	X	Archaea	6	76.32	5.26	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon M_DeepCast_400m_m2_303 [Phylum]	65.58	0.93	0		0	65	586	65	0.915	0.31	0	460171	37909	37909	7080	7080	11195	11195	11	37	0	0	1	1	39
VGTN00000000	SAMN10966765	M_DeepCast_400m_m2_325								Euryarchaeota			Archaea	2	57.89	3.92	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__;g__;s__	d__Archaea;p__;c__;o__;f__;g__;s__	Archaea archaeon M_DeepCast_400m_m2_325 [Domain]	54.81	0	0		0	342	1156	342	0.908	0.60	0	882349	6910	6910	2580	2580	2618	2618	11	19	0	0	0	0	19
VHBJ00000000	SAMN10966970	M_DeepCast_50m_m1_060								Thaumarchaeota			Archaea	2	52.63	1.96	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	Nitrosopumilaceae archaeon M_DeepCast_50m_m1_060 [Family]	55.83	2.59	50		0	232	1512	232	0.921	0.36	0	1154514	41589	41589	4976	4976	6632	6632	11	19	0	0	1	1	21
VHBK00000000	SAMN10966971	M_DeepCast_65m_m1_070								Thaumarchaeota			Archaea	4	86.84	3.92	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__	Nitrosotenuis sp. M_DeepCast_65m_m1_070 [Genus]	94.01	1.94	0		0	64	1637	64	0.919	0.41	0	1306115	117334	117334	20408	20408	35314	35314	11	39	0	0	0	1	40
VHBM00000000	SAMN10966973	K_Offshore_80m_m1_039								Thaumarchaeota			Archaea	16	86.84	5.26	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	Nitrosopumilaceae archaeon K_Offshore_80m_m1_039 [Family]	90.13	1.94	100		0	101	1379	101	0.923	0.37	0	1087139	54154	54154	10764	10764	20016	20016	11	37	0	0	0	1	38
VGLX00000000	SAMN10966567	M_DeepCast_400m_m2_277								Woesearchaeota		X	Archaea	3	71.05	2.63	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__SCGC-AAA011-G17;f__;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon M_DeepCast_400m_m2_277 [Phylum]	63.01	1.87	0		0	257	1698	257	0.924	0.42	0	1365478	24442	24442	5313	5313	6875	6875	11	21	0	0	5	0	26
VFYY00000000	SAMN10966228	K_Offshore_120m_m2_006	Bacteria(100)	Acidobacteria(100)	Subgroup_6(100)	unclassified	unclassified	unclassified	unclassified	Acidobacteria			Bacteria	2	90.2	9.8	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_Offshore_120m_m2_006 [Phylum]	90.51	3.85	20	Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium	0	295	4078	295	0.931	0.69	0	4217311	74366	74366	14296	14296	21583	21583	11	34	0	1	1	1	37
VFZE00000000	SAMN10966234	K_DeepCast_65m_m1_022	Bacteria(100)	Acidobacteria(100)	Acidobacteriia(100)	Solibacterales(100)	Solibacteraceae_(Subgroup_3)(100)	Bryobacter(95)	unclassified	Acidobacteria			Bacteria	7	100	5.26	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__	Solibacteraceae bacterium K_DeepCast_65m_m1_022 [Family]	99.12	3.51	60	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae (Subgroup 3);Bryobacter;uncultured bacterium	0	166	5558	166	0.936	0.62	0	6247865	329268	329268	37638	37638	93727	93727	11	49	0	0	0	3	52
VFZF00000000	SAMN10966235	K_DeepCast_65m_m1_223	Bacteria(100)	Acidobacteria(100)	Subgroup_6(100)	unclassified	unclassified	unclassified	unclassified	Acidobacteria			Bacteria	13	98.04	1.96	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__;g__;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_DeepCast_65m_m1_223 [Phylum]	97.44	4.32	16.67	Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium	0	55	2895	55	0.941	0.65	0	3113930	274271	274271	56617	56617	153728	153728	11	48	0	0	0	0	48
VFZG00000000	SAMN10966236	M_DeepCast_65m_m2_224	Bacteria(100)	Acidobacteria(100)	Subgroup_6(100)	unclassified	unclassified	unclassified	unclassified	Acidobacteria			Bacteria	14	100	3.92	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__12-FULL-67-14b;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium M_DeepCast_65m_m2_224 [Phylum]	94.87	5.98	0	Bacteria;Acidobacteria;Subgroup 6;uncultured soil bacterium	0	124	3580	124	0.933	0.66	0	3963882	231811	231811	31967	31967	65636	65636	11	43	0	0	0	1	44
VFZH00000000	SAMN10966237	K_Offshore_80m_m2_020	Bacteria(100)	Acidobacteria(100)	Subgroup_6(100)	unclassified	unclassified	unclassified	unclassified	Acidobacteria			Bacteria	2	98.04	3.92	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_Offshore_80m_m2_020 [Phylum]	95.44	3.42	0	Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium	0	243	3617	243	0.916	0.70	0	3910054	100138	100138	16091	16091	24465	24465	11	42	0	0	1	1	44
VFZI00000000	SAMN10966238	K_Offshore_80m_m2_035								Acidobacteria			Bacteria	9	74.51	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_035 [Domain]	77.46	0.05	100		0	141	2425	141	0.913	0.66	0	2327838	155994	155994	16509	16509	25965	25965	11	26	0	0	0	1	27
0	SAMN10966262	M_surface_9_m1_114								Actinobacteria acI-B1			Bacteria	1	52.94	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__	d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__Nanopelagicus;s__	Nanopelagicus sp. M_surface_9_m1_114 [Genus]	9.77	0	0		0	5	92	5	0.960	0.43	0	83948	36448	36448	16790	16790	18230	18230	11	0	0	0	0	0	0
