NCBI Genome Submission ID,NCBI BioSample Submission ID,Genome (MAG Identifier),Genome completeness (CheckM),Genome contamination (CheckM),Manual Taxonomy,Taxonomy (GTDB-tk),Comparison of Manual Taxonomy (16RP) and GTDB-tk,Candidate phyla,DPANN,Domain,Number of MAG in cluster (dRep),Completeness (DasTool),Contamination (DasTool),TaxAss-kingdom,TaxAss-phylum,TaxAss-class,TaxAss-order,TaxAss-lineage,TaxAss-clade,TaxAss-tribe,Taxonomy (NCBI),Strain name,16S rRNA phylogeny (CheckM),Number of contigs,Number of  predicted genes,Number of scaffolds,Coding density,GC,Genome size (bp),Longest contig,Longest scaffold,Mean contig length,Mean scaffold length,N50 (contigs),N50 (scaffolds),Translation table,tRNAs decoding Standard 20 AA,Selenocysteine tRNAs,Possible suppressor tRNAs,tRNAs with undetermined/unknown isotypes,Predicted pseudogenes,Total tRNAs
VGAS00000000,SAMN10966275,K_DeepCast_1200m_m2_005,67.04,6.99,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__,Match,,,Bacteria,5,86.27,15.69,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_1200m_m2_005 [Domain],,568,2150,568,0.843,0.33,1879613,16275,16275,3309,3309,3746,3746,11,33,0,0,0,1,34
VGAU00000000,SAMN10966277,K_DeepCast_1200m_m2_204,89.01,4.73,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA7938;g__;s__,Match,,,Bacteria,2,90.2,7.89,,,,,,,,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_1200m_m2_204 [Domain],,372,2270,372,0.869,0.34,1998470,33176,33176,5372,5372,7229,7229,11,37,0,0,0,2,39
VGAX00000000,SAMN10966280,K_DeepCast_150m_m1_051,68.39,5.56,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__,Match,,,Bacteria,4,62.75,5.88,,,,,,,,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_150m_m1_051 [Domain],,519,1985,519,0.899,0.39,1736768,14181,14181,3346,3346,3753,3753,11,20,0,0,0,0,20
VGAZ00000000,SAMN10966282,K_DeepCast_150m_m2_097,96.82,2.88,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__,Match,,,Bacteria,8,98.04,1.96,Bacteria(100),Actinobacteria(100),WCHB1-81(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_150m_m2_097 [Domain],Bacteria;Actinobacteria;OPB41;uncultured bacterium,235,2190,235,0.871,0.37,2129990,76006,76006,9064,9064,14509,14509,11,46,0,0,0,0,46
VGBA00000000,SAMN10966283,K_DeepCast_150m_m2_294,87.27,9.33,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__,Match,,,Bacteria,4,98.04,7.84,,,,,,,,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_150m_m2_294 [Domain],,351,2231,351,0.848,0.35,2187391,61780,61780,6232,6232,10292,10292,11,41,0,0,0,1,42
VGBH00000000,SAMN10966290,K_DeepCast_35m_m1_047,86,0.54,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Match,,,Bacteria,12,100,1.96,Bacteria(100),Actinobacteria(100),Actinobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium K_DeepCast_35m_m1_047 [Order],Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured bacterium,46,1331,46,0.948,0.43,1250995,120624,120624,27196,27196,48658,48658,11,40,0,0,0,1,41
VGBI00000000,SAMN10966291,K_DeepCast_35m_m1_297,96.58,2.14,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__,Match,,,Bacteria,11,100,5.88,,,,,,,,d__Bacteria;p__;c__Acidimicrobiia;o__;f__;g__;s__,Acidimicrobiia bacterium K_DeepCast_35m_m1_297 [Class],,165,2795,165,0.937,0.74,2717219,79919,79919,16468,16468,26069,26069,11,47,0,1,0,0,48
VGBJ00000000,SAMN10966292,M_DeepCast_400m_m1_127,60.11,0.5,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__,Match,,,Bacteria,17,62.75,5.88,,,,,,,,d__Bacteria;p__;c__Thermoleophilia;o__;f__;g__;s__,Thermoleophilia bacterium M_DeepCast_400m_m1_127 [Class],,373,1570,373,0.939,0.72,1214271,12237,12237,3255,3255,3512,3512,11,29,0,0,0,0,29
VGBK00000000,SAMN10966293,M_DeepCast_400m_m2_130,93.16,5.98,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA11373;g__;s__,Match,,,Bacteria,6,100,7.84,Bacteria(100),Actinobacteria(100),Acidimicrobiia(100),Actinomarinales(100),unclassified,unclassified,unclassified,d__Bacteria;p__;c__Acidimicrobiia;o__;f__;g__;s__,Acidimicrobiia bacterium M_DeepCast_400m_m2_130 [Class],Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;uncultured bacterium,322,2720,322,0.913,0.72,2565459,77709,77709,7967,7967,13633,13633,11,44,0,0,0,1,45
VGBM00000000,SAMN10966295,K_Offshore_40m_m2_012,93.97,0.72,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__,Match,,,Bacteria,23,98.04,5.88,Bacteria(100),Actinobacteria(100),Thermoleophilia(100),Gaiellales(100),unclassified,unclassified,unclassified,d__Bacteria;p__;c__Thermoleophilia;o__;f__;g__;s__,Thermoleophilia bacterium K_Offshore_40m_m2_012 [Class],Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured bacterium,52,2220,52,0.947,0.74,2131968,357716,357716,40999,40999,103198,103198,11,46,0,0,0,1,47
VGBP00000000,SAMN10966298,K_Offshore_40m_m2_139,58.76,0.26,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Match,,,Bacteria,1,68.63,3.92,Bacteria(99),Actinobacteria(98),Actinobacteria(98),Frankiales(92),Sporichthyaceae(92),unclassified,unclassified,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium K_Offshore_40m_m2_139 [Order],,271,1171,271,0.947,0.38,952901,20005,20005,3516,3516,3870,3870,11,27,0,0,1,0,28
VGBR00000000,SAMN10966300,M_DeepCast_50m_m2_189,97.44,2.99,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__,Match,,,Bacteria,7,100,1.96,Bacteria(100),Actinobacteria(100),Acidimicrobiia(100),IMCC26256(100),unclassified,unclassified,unclassified,d__Bacteria;p__;c__Acidimicrobiia;o__;f__;g__;s__,Acidimicrobiia bacterium M_DeepCast_50m_m2_189 [Class],Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;uncultured bacterium,31,2892,31,0.933,0.68,2816131,509187,509187,90843,90843,215763,215763,11,45,0,1,0,1,47
VGBT00000000,SAMN10966302,K_DeepCast_65m_m2_097,98.29,2.14,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__,Match,,,Bacteria,6,100,0,Bacteria(100),Actinobacteria(100),Acidimicrobiia(100),IMCC26256(100),unclassified,unclassified,unclassified,d__Bacteria;p__;c__Acidimicrobiia;o__;f__;g__;s__,Acidimicrobiia bacterium K_DeepCast_65m_m2_097 [Class],Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;uncultured bacterium,97,3100,97,0.922,0.71,2983521,199017,199017,30758,30758,61969,61969,11,44,0,1,0,2,47
VGBV00000000,SAMN10966304,K_DeepCast_65m_m2_213,93.97,1.87,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__,Match,,,Bacteria,5,100,1.96,Bacteria(100),Actinobacteria(100),Thermoleophilia(100),Solirubrobacterales(100),67-14(100),unclassified,unclassified,d__Bacteria;p__;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__,Solirubrobacterales bacterium K_DeepCast_65m_m2_213 [Order],Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332;uncultured bacterium,247,2748,247,0.913,0.71,2498450,69605,69605,10115,10115,16735,16735,11,45,0,0,0,1,46
VGBX00000000,SAMN10966306,M_DeepCast_65m_m2_256,77.39,0.09,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__,Match,,,Bacteria,3,94.12,3.92,,,,,,,,d__Bacteria;p__;c__Thermoleophilia;o__;f__;g__;s__,Thermoleophilia bacterium M_DeepCast_65m_m2_256 [Class],,401,1893,401,0.931,0.71,1464926,19315,19315,3653,3653,4055,4055,11,35,0,0,0,0,35
VGCA00000000,SAMN10966309,K_Offshore_80m_m2_056,95.73,2.33,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__,Match,,,Bacteria,5,100,3.92,,,,,,,,d__Bacteria;p__;c__Acidimicrobiia;o__;f__;g__;s__,Acidimicrobiia bacterium K_Offshore_80m_m2_056 [Class],,385,3622,385,0.932,0.72,3363940,77369,77369,8738,8738,13129,13129,11,45,0,0,0,2,47
VGCB00000000,SAMN10966310,K_Offshore_80m_m2_094,84.24,3.62,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__,Match,,,Bacteria,3,78.43,1.96,Bacteria(100),Actinobacteria(100),Thermoleophilia(100),Gaiellales(100),unclassified,unclassified,unclassified,d__Bacteria;p__;c__Thermoleophilia;o__;f__;g__;s__,Thermoleophilia bacterium K_Offshore_80m_m2_094 [Class],Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;uncultured Rubrobacterineae bacterium,716,3861,716,0.905,0.71,3400093,20232,20232,4749,4749,5922,5922,11,35,0,0,0,2,37
VGCE00000000,SAMN10966313,K_Offshore_surface_m2_014,97.41,0,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__,Match,,,Bacteria,17,100,0,Bacteria(100),Actinobacteria(100),Thermoleophilia(100),Gaiellales(100),unclassified,unclassified,unclassified,d__Bacteria;p__;c__Thermoleophilia;o__;f__;g__;s__,Thermoleophilia bacterium K_Offshore_surface_m2_014 [Class],Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured bacterium,16,1897,16,0.934,0.71,1811387,455217,455217,113212,113212,228976,228976,11,46,0,0,0,1,47
VGNS00000000,SAMN10966614,K_DeepCast_150m_m2_272,62.95,2.1,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__,Match,,,Bacteria,2,72.55,7.89,,,,,,,,d__Bacteria;p__;c__Thermoleophilia;o__;f__;g__;s__,Thermoleophilia bacterium K_DeepCast_150m_m2_272 [Class],,695,2268,695,0.894,0.70,1902922,10539,10539,2738,2738,2863,2863,11,19,0,0,0,1,20
VGOV00000000,SAMN10966643,K_DeepCast_65m_m2_193,81.16,2.09,Actinobacteria,d__Bacteria;p__Chloroflexota;c__UBA2235;o__;f__;g__;s__,Match,,,Bacteria,2,52.94,3.92,,,,,,,,d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__,Chloroflexota bacterium K_DeepCast_65m_m2_193 [Phylum],,756,3457,756,0.854,0.69,3102989,19921,19921,4104,4104,4996,4996,11,51,0,0,0,2,53
VGAA00000000,SAMN10966256,M_surface_7_m2_032,50.83,0,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__,Match,,,Bacteria,18,74.51,0,,,,,,,,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__Nanopelagicus;s__,Nanopelagicus sp. M_surface_7_m2_032 [Genus],,32,713,32,0.957,0.41,681184,133561,133561,21287,21287,51990,51990,11,15,0,0,0,0,15
VGBN00000000,SAMN10966296,K_Offshore_40m_m2_034,70.8,0.53,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__,Match,,,Bacteria,15,98.04,0,,,,,,,,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__Nanopelagicus;s__,Nanopelagicus sp. K_Offshore_40m_m2_034 [Genus],,58,1072,58,0.956,0.43,1013695,70520,70520,17478,17478,37724,37724,11,24,0,0,0,1,25
VGBW00000000,SAMN10966305,K_DeepCast_65m_m2_221,81.15,0,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Match,,,Bacteria,14,98.04,0,Bacteria(87),unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium K_DeepCast_65m_m2_221 [Order],,25,1328,25,0.948,0.47,1290778,256053,256053,51631,51631,120948,120948,11,44,0,0,0,0,44
VGAE00000000,SAMN10966260,M_surface_9_m1_009,82.45,2.41,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Match,,,Bacteria,16,94.12,0,Bacteria(90),unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium M_surface_9_m1_009 [Order],,81,1525,81,0.949,0.46,1452111,166373,166373,17927,17927,63134,63134,11,47,0,0,0,2,49
VGAF00000000,SAMN10966261,M_surface_9_m1_017,81.75,4.82,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Match,,,Bacteria,7,88.24,5.88,,,,,,,,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium M_surface_9_m1_017 [Order],,177,1462,177,0.958,0.48,1344465,64248,64248,7596,7596,10511,10511,11,32,0,0,0,0,32
VGAL00000000,SAMN10966268,K_Offshore_0m_m1_007,86.94,2.36,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Match,,,Bacteria,24,100,2.63,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Frankiales(100),acI(100),acI-C(100),acI-C1(100),d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium K_Offshore_0m_m1_007 [Order],Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured bacterium,86,1480,86,0.954,0.50,1414536,124423,124423,16448,16448,37760,37760,11,39,0,0,1,2,42
VGAG00000000,SAMN10966263,M_surface_9_m2_080,73.43,0,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Match,,,Bacteria,24,94.12,0,,,,,,,,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium M_surface_9_m2_080 [Order],,49,1058,49,0.959,0.47,1009652,91444,91444,20605,20605,36763,36763,11,22,0,0,0,0,22
VGAI00000000,SAMN10966265,M_surface_10_m2_076,77.47,0.79,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__,Match,,,Bacteria,22,92.16,1.96,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Frankiales(99),Sporichthyaceae(99),hgcI_clade(99),unclassified,d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium M_surface_10_m2_076 [Order],Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured bacterium,91,1301,91,0.950,0.51,1259877,95114,95114,13845,13845,24648,24648,11,28,0,0,0,1,29
VGAJ00000000,SAMN10966266,M_surface_10_m2_136,74.31,1.47,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__,Match,,,Bacteria,24,92.16,1.96,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Frankiales(100),acI(100),acI-C(100),acI-C2(100),d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__,Nanopelagicales bacterium M_surface_10_m2_136 [Order],Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured bacterium,65,1099,65,0.952,0.44,1049758,180756,180756,16150,16150,43388,43388,11,29,0,0,0,0,29
VGAV00000000,SAMN10966278,K_DeepCast_1200m_m2_272,91.81,2.62,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__,Match,,,Bacteria,1,98.04,9.8,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Micrococcales(100),Microbacteriaceae(100),Microbacterium(100),unclassified,d__Bacteria;p__;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__,Microbacterium sp. K_DeepCast_1200m_m2_272 [Genus],Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium sp. Leaf203,654,3457,654,0.900,0.71,3189298,29609,29609,4877,4877,6053,6053,11,45,0,0,0,0,45
VGBY00000000,SAMN10966307,K_Offshore_80m_m1_031,76.88,2.56,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__,Match,,,Bacteria,24,90.2,0,,,,,,,,d__Bacteria;p__;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__,Microtrichales bacterium K_Offshore_80m_m1_031 [Order],,190,1311,190,0.956,0.62,1169226,47124,47124,6154,6154,8817,8817,11,24,0,0,0,0,24
VFYX00000000,SAMN10966227,K_Offshore_120m_m1_195,79.6,6.84,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__,Match,,,Bacteria,24,84.31,7.84,,,,,,,,d__Bacteria;p__;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__,Microtrichales bacterium K_Offshore_120m_m1_195 [Order],,423,2097,423,0.955,0.62,1761153,32272,32272,4163,4163,5203,5203,11,30,0,0,0,1,31
VFZC00000000,SAMN10966232,K_Offshore_40m_m2_124,90.6,0.85,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Casp-actino8;s__,Match,,,Bacteria,21,88.24,5.88,,,,,,,,d__Bacteria;p__;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__,Microtrichales bacterium K_Offshore_40m_m2_124 [Order],,59,2254,59,0.952,0.64,2203344,151677,151677,37345,37345,68233,68233,11,46,0,1,0,1,48
VGAC00000000,SAMN10966258,M_surface_8_m2_026,91.45,1.28,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__,Match,,,Bacteria,24,100,0,Bacteria(100),Actinobacteria(100),Acidimicrobiia(100),Microtrichales(100),Ilumatobacteraceae(100),CL500-29_marine_group(100),unclassified,d__Bacteria;p__;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__,Microtrichales bacterium M_surface_8_m2_026 [Order],Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;CL500-29 marine group;uncultured bacterium,42,1983,42,0.952,0.63,1951776,199221,199221,46471,46471,116240,116240,11,44,0,1,0,3,48
