Genome	Genome_completeness	Genome_contamination	Manual_Taxonomy	Taxonomy_GTDB-tk	TaxAss_combined	Match
K_Offshore_120m_m2_006	90.51	3.85	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	Bacteria(100); Acidobacteria(100); Subgroup_6(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_020	95.44	3.42	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	Bacteria(100); Acidobacteria(100); Subgroup_6(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_117	95.44	5.13	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	Bacteria(100); Acidobacteria(100); Subgroup_6(100); unclassified; unclassified; unclassified; unclassified	Yes
M_surface_10_m1_251	95.67	4.27	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	Bacteria(100); Acidobacteria(100); Subgroup_6(100); unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_65m_m2_224	94.87	5.98	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__12-FULL-67-14b;s__	Bacteria(100); Acidobacteria(100); Subgroup_6(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_100m_m1_278	70.3	8.48	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__		
K_DeepCast_1200m_m2_204	89.01	4.73	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA7938;g__;s__		
K_DeepCast_150m_m1_051	68.39	5.56	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__		
K_DeepCast_150m_m2_294	87.27	9.33	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__		
K_DeepCast_35m_m1_297	96.58	2.14	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__		
M_DeepCast_400m_m1_127	60.11	0.5	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__		
M_DeepCast_65m_m2_256	77.39	0.09	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__		
K_Offshore_80m_m2_056	95.73	2.33	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__		
K_DeepCast_150m_m2_272	62.95	2.1	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__		
K_DeepCast_65m_m2_193	81.16	2.09	Actinobacteria	d__Bacteria;p__Chloroflexota;c__UBA2235;o__;f__;g__;s__		
M_surface_7_m2_032	50.83	0	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__		
K_Offshore_40m_m2_034	70.8	0.53	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__		
M_surface_9_m1_017	81.75	4.82	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__		
M_surface_9_m2_080	73.43	0	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__		
K_Offshore_80m_m1_031	76.88	2.56	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__		
K_Offshore_120m_m1_195	79.6	6.84	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__		
K_Offshore_40m_m2_124	90.6	0.85	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Casp-actino8;s__		
K_Offshore_40m_m2_150	90.27	3.41	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__		
M_DeepCast_50m_m2_189	97.44	2.99	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); IMCC26256(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_65m_m2_097	98.29	2.14	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__;f__;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); IMCC26256(100); unclassified; unclassified; unclassified	Yes
K_Offshore_40m_m2_105	97.44	2.14	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(95); Microtrichales(89); unclassified; unclassified; unclassified	Yes
M_surface_8_m2_026	91.45	1.28	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); Microtrichales(100); Ilumatobacteraceae(100); CL500-29_marine_group(100); unclassified	Yes
M_surface_7_m2_239	91.45	1.71	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); Microtrichales(100); Ilumatobacteraceae(100); CL500-29_marine_group(100); unclassified	Yes
M_surface_10_m2_188	85.47	1.28	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); Microtrichales(100); Ilumatobacteraceae(100); CL500-29_marine_group(97); unclassified	Yes
K_Offshore_surface_m2_010	96.58	1.28	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__	Bacteria(100); Actinobacteria(89); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m2_117	89.74	1.71	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(99); Microtrichales(99); Ilumatobacteraceae(99); CL500-29_marine_group(98); unclassified	Yes
K_DeepCast_0m_m1_227	84.62	1.28	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Casp-actino8;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); Microtrichales(100); acIV(100); acIV-C(100); unclassified	Yes
K_Offshore_80m_m1_195	96.58	1.71	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); Microtrichales(100); Microtrichaceae(100); IMCC26207(100); unclassified	Yes
M_DeepCast_400m_m2_130	93.16	5.98	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA11373;g__;s__	Bacteria(100); Actinobacteria(100); Acidimicrobiia(100); Actinomarinales(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_1200m_m2_272	91.81	2.62	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); Micrococcales(100); Microbacteriaceae(100); Microbacterium(100); unclassified	Yes
K_DeepCast_35m_m1_047	86	0.54	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
M_surface_9_m2_101	64.36	1.33	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_40m_m1_268	94.14	0	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__	Bacteria(100); Actinobacteria(99); Actinobacteria(99); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_40m_m2_139	58.76	0.26	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__	Bacteria(99); Actinobacteria(98); Actinobacteria(98); Frankiales(92); Sporichthyaceae(92); unclassified; unclassified	Yes
M_surface_10_m2_076	77.47	0.79	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); Frankiales(99); Sporichthyaceae(99); hgcI_clade(99); unclassified	Yes
K_DeepCast_65m_m2_221	81.15	0	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__	Bacteria(87); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes but Taxass could only identify to Domain
M_surface_9_m1_009	82.45	2.41	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__	Bacteria(90); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes but Taxass could only identify to Domain
K_Offshore_0m_m1_007	86.94	2.36	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); Frankiales(100); acI(100); acI-C(100); acI-C1(100)	Yes
M_surface_10_m2_136	74.31	1.47	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); Frankiales(100); acI(100); acI-C(100); acI-C2(100)	Yes
K_Offshore_80m_m2_226	92.22	0.54	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__;s__	Bacteria(100); Actinobacteria(100); Actinobacteria(100); PeM15(100); unclassified; unclassified; unclassified	Yes
K_Offshore_40m_m2_012	93.97	0.72	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__	Bacteria(100); Actinobacteria(100); Thermoleophilia(100); Gaiellales(100); unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_094	84.24	3.62	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__	Bacteria(100); Actinobacteria(100); Thermoleophilia(100); Gaiellales(100); unclassified; unclassified; unclassified	Yes
K_Offshore_surface_m2_014	97.41	0	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__	Bacteria(100); Actinobacteria(100); Thermoleophilia(100); Gaiellales(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_65m_m2_213	93.97	1.87	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__	Bacteria(100); Actinobacteria(100); Thermoleophilia(100); Solirubrobacterales(100); 67-14(100); unclassified; unclassified	Yes
K_DeepCast_150m_m2_097	96.82	2.88	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	Bacteria(100); Actinobacteria(100); WCHB1-81(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_1200m_m2_005	67.04	6.99	Actinobacteria	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes but was unclassified by TaxAss
M_DeepCast_200m_m2_041	74.7	2.41	Alphaproteobacteria LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__		
K_Offshore_40m_m1_069	77.71	3.34	Alphaproteobacteria LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Fonsibacter;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); SAR11_clade(100); alfV(100); alfV-A(100); LD12(100)	Yes
M_DeepCast_50m_m2_111	96.59	0.87	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		
K_Offshore_80m_m1_220	69.82	5.16	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		
K_Offshore_80m_m2_049	65.93	5.76	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		
K_Offshore_80m_m2_081	62.52	7.53	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		
K_Offshore_surface_m1_194	96.16	5.39	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		
M_surface_7_m2_013	90.11	0.1	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__;g__;s__		
M_surface_8_m2_185	81.43	0.63	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__		
K_Offshore_120m_m2_043	92.03	2.37	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__		
K_Offshore_80m_m2_146	70.05	0.74	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__		
K_Offshore_40m_m1_243	77.47	1.1	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__		
K_DeepCast_100m_mx_141	94.86	7.9	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__		
M_DeepCast_200m_mx_060	76.69	6.18	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__		
K_DeepCast_250m_m2_101	57.45	8.99	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__		
M_DeepCast_65m_m1_019	89.77	1.11	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__		
M_DeepCast_65m_m1_022	93.83	3.64	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__		
M_DeepCast_65m_m2_041	98.89	6.65	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__		
K_Offshore_80m_m2_123	97.78	2.22	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__		
K_DeepCast_35m_m1_317	66.97	8.08	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__		
M_DeepCast_400m_m1_328	79.68	1.26	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__		
K_DeepCast_65m_m1_262	69.53	8.5	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__		
M_DeepCast_65m_m1_275	82.59	2.85	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__		
K_Offshore_80m_m2_101	94.22	1.06	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__		
M_surface_6_m2_121	90.11	1.1	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__		
M_DeepCast_65m_m2_243	90.09	7.43	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__		
K_Offshore_80m_m2_162	93.48	1.91	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__		
K_Offshore_40m_m2_283	73.56	1.42	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__		
K_DeepCast_1200m_m2_124	72.04	5.23	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__		
M_surface_10_m2_064	88.53	0.28	Alphaproteobacteria non LD12	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
M_surface_9_m2_109	95.98	1.03	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Reyranellales(100); Reyranellaceae(100); Reyranella(100); unclassified	Yes
K_DeepCast_35m_m2_067	95.61	0.78	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Reyranellales(100); Reyranellaceae(100); unclassified; unclassified	Yes
K_Offshore_80m_m2_048	60.53	0.94	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Rhizobiales(100); Rhizobiales_Incertae_Sedis(100); unclassified; unclassified	Yes
M_DeepCast_400m_m1_040	86.06	0.18	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Rickettsiales(95); SM2D12(94); unclassified; unclassified	Yes
K_DeepCast_35m_m1_027	93.55	3.23	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_35m_m2_271	96.09	4.8	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_053	92.9	1.59	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_35m_m2_327	61.67	0	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(100); Proteobacteria(94); Alphaproteobacteria(89); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_107	96.96	4.39	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(94); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_051	93.45	1.74	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	Bacteria(96); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_40m_mx_105	99	1	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	Bacteria(93); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_40m_mx_120	99.97	7.96	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	Bacteria(93); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_191	98.04	1.52	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__;s__	Bacteria(100); Proteobacteria(98); Alphaproteobacteria(95); unclassified; unclassified; unclassified; unclassified	Yes
M_surface_10_m2_100	83.02	1.09	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Paracaedibacterales(100); Paracaedibacteraceae(100); Candidatus_Paracaedibacter(100); unclassified	Yes
K_Offshore_surface_mx_080	64.1	1.3	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__;g__;s__	Bacteria(92); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_surface_10_m2_180	93.17	1.12	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Rhizobiales(100); Beijerinckiaceae(100); FukuN57(100); unclassified	Yes
M_DeepCast_65m_mx_036	96.99	2.85	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	Bacteria(89); Proteobacteria(83); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_65m_m2_016	97.58	0.1	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Rhizobiales(100); Methyloligellaceae(100); unclassified; unclassified	Yes
K_Offshore_40m_m1_238	98.12	2.27	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Rhodobacterales(100); Rhodobacteraceae(100); Tabrizicola(82); unclassified	Yes
M_DeepCast_65m_m2_266	98.63	1.51	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
