"Genome1"	"Genome2"	"ANI"	"self"	"group"	"group2"	"versus"	"Manual.Taxonomy"	"Taxonomy..GTDB.tk."
"K_Offshore_80m_m2_228"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.211983	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_surface_mx_256"	"GCA_009691025.1_ASM969102v1_genomic.fna"	74.772667	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__"
"M_DeepCast_100m_m1_373"	"GCA_009691025.1_ASM969102v1_genomic.fna"	75.752716	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Betaproteobacteria"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__UTPRO2;s__"
"M_DeepCast_400m_m2_100"	"GCA_009691025.1_ASM969102v1_genomic.fna"	75.096054	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"CP Eisenbacteria"	"d__Bacteria;;c__;o__;f__;g__;s__"
"M_DeepCast_50m_m1_133"	"GCA_009691025.1_ASM969102v1_genomic.fna"	75.175522	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"CP Rokubacteria"	"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__"
"M_DeepCast_50m_m1_244"	"GCA_009691025.1_ASM969102v1_genomic.fna"	75.055763	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"CP Rokubacteria"	"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__"
"M_DeepCast_50m_m2_111"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.991142	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"M_DeepCast_50m_m2_221"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.414528	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"M_surface_9_m2_109"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.383636	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_067"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.593735	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_271"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.227562	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_107"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.901237	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_115"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.563873	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_80m_m2_123"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.454247	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__"
"K_Offshore_80m_m2_187"	"GCA_009691035.1_ASM969103v1_genomic.fna"	79.208733	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"K_Offshore_80m_m2_228"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.773956	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"M_DeepCast_50m_m2_111"	"GCA_009691035.1_ASM969103v1_genomic.fna"	76.735825	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"M_DeepCast_50m_m2_221"	"GCA_009691035.1_ASM969103v1_genomic.fna"	76.13562	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"M_surface_9_m2_109"	"GCA_009691035.1_ASM969103v1_genomic.fna"	75.92514	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_067"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.616226	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_271"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.062981	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_107"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.766388	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_115"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.640808	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_80m_m2_187"	"GCA_009691045.1_ASM969104v1_genomic.fna"	79.078262	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"K_Offshore_80m_m2_228"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.445572	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"M_DeepCast_50m_m2_111"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.923782	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"M_DeepCast_50m_m2_221"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.738106	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"M_surface_9_m2_109"	"GCA_009691045.1_ASM969104v1_genomic.fna"	75.591599	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_100m_m2_028"	"GCA_009691085.1_ASM969108v1_genomic.fna"	75.177063	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Lentisphaerae"	"d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__;f__;g__;s__"
"K_DeepCast_35m_m1_177"	"GCA_009691085.1_ASM969108v1_genomic.fna"	75.184242	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Deltaproteobacteria"	"d__Bacteria;p__Myxococcota;c__UBA4248;o__UBA7976;f__UBA1532;g__;s__"
"K_DeepCast_35m_m2_067"	"GCA_009691085.1_ASM969108v1_genomic.fna"	77.008423	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_271"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.533844	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_120m_mx_162"	"GCA_009691085.1_ASM969108v1_genomic.fna"	75.140671	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Deltaproteobacteria"	"d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__"
"K_Offshore_80m_m1_186"	"GCA_009691085.1_ASM969108v1_genomic.fna"	74.919128	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__;s__"
"K_Offshore_80m_m2_053"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.588928	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_107"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.285316	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_115"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.179817	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_80m_m2_123"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.540955	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__"
"K_Offshore_80m_m2_187"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.185379	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"K_Offshore_80m_m2_228"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.23526	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_surface_mx_256"	"GCA_009691085.1_ASM969108v1_genomic.fna"	74.957787	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__"
"M_DeepCast_100m_m1_373"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.054276	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Betaproteobacteria"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__UTPRO2;s__"
"M_DeepCast_50m_m1_133"	"GCA_009691085.1_ASM969108v1_genomic.fna"	74.993988	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"CP Rokubacteria"	"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__"
"M_DeepCast_50m_m1_244"	"GCA_009691085.1_ASM969108v1_genomic.fna"	75.170151	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"CP Rokubacteria"	"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__"
"M_DeepCast_50m_m2_111"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.408463	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"M_DeepCast_50m_m2_221"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.370331	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"M_surface_9_m2_109"	"GCA_009691085.1_ASM969108v1_genomic.fna"	76.465866	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_067"	"GCA_009691105.1_ASM969110v1_genomic.fna"	76.011818	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_271"	"GCA_009691105.1_ASM969110v1_genomic.fna"	75.918076	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_053"	"GCA_009691105.1_ASM969110v1_genomic.fna"	76.394012	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_107"	"GCA_009691105.1_ASM969110v1_genomic.fna"	76.193756	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_115"	"GCA_009691105.1_ASM969110v1_genomic.fna"	76.350098	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_80m_m2_123"	"GCA_009691105.1_ASM969110v1_genomic.fna"	75.97757	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__"
"K_Offshore_80m_m2_187"	"GCA_009691105.1_ASM969110v1_genomic.fna"	75.857597	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"K_Offshore_80m_m2_228"	"GCA_009691105.1_ASM969110v1_genomic.fna"	75.671677	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"M_DeepCast_50m_m2_111"	"GCA_009691105.1_ASM969110v1_genomic.fna"	76.495392	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"M_DeepCast_50m_m2_221"	"GCA_009691105.1_ASM969110v1_genomic.fna"	75.89212	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
"M_surface_9_m2_109"	"GCA_009691105.1_ASM969110v1_genomic.fna"	76.154404	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_40m_m2_034"	"GCA_009691185.1_ASM969118v1_genomic.fna"	80.002098	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Actinobacteria"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__"
"K_DeepCast_100m_m2_028"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.134949	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Lentisphaerae"	"d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__;f__;g__;s__"
"K_DeepCast_35m_m1_177"	"GCA_009691195.1_ASM969119v1_genomic.fna"	74.988373	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Deltaproteobacteria"	"d__Bacteria;p__Myxococcota;c__UBA4248;o__UBA7976;f__UBA1532;g__;s__"
"K_DeepCast_35m_m2_009"	"GCA_009691195.1_ASM969119v1_genomic.fna"	74.898796	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Deltaproteobacteria"	"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__"
"K_DeepCast_35m_m2_067"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.346107	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_150"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.022964	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__"
"K_DeepCast_35m_m2_271"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.29908	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_120m_m2_037"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.571762	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Chloroflexi"	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__;s__"
"K_Offshore_120m_mx_162"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.071709	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Deltaproteobacteria"	"d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__"
"K_Offshore_40m_m2_012"	"GCA_009691195.1_ASM969119v1_genomic.fna"	76.399971	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Actinobacteria"	"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__"
"K_Offshore_80m_m1_186"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.073875	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__;s__"
"K_Offshore_80m_m1_195"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.715645	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Actinobacteria"	"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__;s__"
"K_Offshore_80m_m2_006"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.208488	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Phycisphaerae"	"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__"
"K_Offshore_80m_m2_107"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.21843	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_115"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.364609	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_80m_m2_123"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.257896	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__"
"K_Offshore_surface_m2_014"	"GCA_009691195.1_ASM969119v1_genomic.fna"	76.714218	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Actinobacteria"	"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__"
"K_Offshore_surface_mx_256"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.0569	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__"
"M_DeepCast_100m_m1_373"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.480377	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Betaproteobacteria"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__UTPRO2;s__"
"M_DeepCast_50m_m1_133"	"GCA_009691195.1_ASM969119v1_genomic.fna"	75.266174	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"CP Rokubacteria"	"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__;s__"
